Date,Channel,Campaign_ID,Spend_USD,Impressions,Clicks,Conversions
2025-09-01,Google Ads,G_Search_Brnd,98.34,5028,241,5
2025-09-01,Google Ads,G_Shopping_S,125.92,5166,158,6
2025-09-01,Facebook/Insta,F_Retarget_C,80.08,4158,56,0
2025-09-01,Google Ads,G_Search_Brnd,109.12,5446,228,4
2025-09-01,Facebook/Insta,F_Lookalike_T,125.61,5586,98,1
2025-09-02,Google Ads,G_Search_Brnd,140.75,7698,334,6
2025-09-02,Facebook/Insta,F_Retarget_C,160.84,9257,95,0
2025-09-02,Google Ads,G_Shopping_S,141.0,6414,199,7
2025-09-02,Google Ads,G_Search_Generic,122.52,6029,283,5
2025-09-02,Facebook/Insta,F_Retarget_C,173.95,8938,255,1
2025-09-03,Google Ads,G_Search_Generic,99.6,4999,294,10
2025-09-03,Facebook/Insta,F_Lookalike_T,162.87,8778,137,0
2025-09-03,Google Ads,G_Shopping_S,96.53,5741,342,12
2025-09-03,Google Ads,G_Shopping_S,161.55,9101,467,16
2025-09-03,Facebook/Insta,F_Retarget_C,115.85,6721,190,0
2025-09-04,Google Ads,G_Search_Brnd,86.36,3860,193,6
2025-09-04,Facebook/Insta,F_Retarget_C,168.72,7708,136,2
2025-09-04,Facebook/Insta,F_Lookalike_T,136.13,5842,116,1
2025-09-04,Google Ads,G_Search_Generic,123.93,5820,285,7
2025-09-04,Google Ads,G_Search_Generic,93.93,3987,168,5
2025-09-05,Google Ads,G_Shopping_S,108.98,6178,357,12
2025-09-05,Facebook/Insta,F_Retarget_C,125.65,6669,91,1
2025-09-05,Google Ads,G_Search_Generic,92.21,5184,204,4
2025-09-05,Google Ads,G_Search_Generic,80.05,4174,233,4
2025-09-05,Google Ads,G_Search_Brnd,128.48,6396,256,9
2025-09-06,Google Ads,G_Search_Brnd,120.38,6668,394,15
2025-09-06,Google Ads,G_Search_Generic,151.23,7685,296,6
2025-09-06,Facebook/Insta,F_Retarget_C,121.1,5698,88,1
2025-09-06,Google Ads,G_Search_Generic,133.09,7018,326,10
2025-09-06,Google Ads,G_Shopping_S,104.22,4461,183,5
2025-09-07,Facebook/Insta,F_Lookalike_T,161.64,8656,231,3
2025-09-07,Google Ads,G_Search_Brnd,165.84,9444,475,9
2025-09-07,Google Ads,G_Shopping_S,114.87,6328,222,7
2025-09-07,Google Ads,G_Search_Generic,163.77,8352,336,7
2025-09-07,Facebook/Insta,F_Retarget_C,149.58,6245,144,2
2025-09-08,Facebook/Insta,F_Retarget_C,106.08,5570,163,2
2025-09-08,Facebook/Insta,F_Lookalike_T,113.9,6238,152,2
2025-09-08,Facebook/Insta,F_Retarget_C,168.78,7378,86,0
2025-09-08,Facebook/Insta,F_Retarget_C,138.07,8079,232,4
2025-09-08,Google Ads,G_Search_Generic,134.87,6350,233,7
2025-09-09,Google Ads,G_Search_Brnd,97.88,5442,269,9
2025-09-09,Facebook/Insta,F_Lookalike_T,134.25,6324,109,1
