ID,Marital_Status,Gender,Yearly_Income,Children,Education,Occupation,Home_Owner,Cars,Commute_Distance,Region,Age,BikeBuyer
16145,Single,Female,70000,5,Graduate Degree,Professional,Yes,3,10+ Miles,North America,47,Yes
16977,Single,Male,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,40,Yes
13175,Married,Male,90000,4,Bachelors,Management,Yes,1,0-1 Miles,North America,38,No
14184,Married,Male,170000,5,Bachelors,Management,Yes,2,0-1 Miles,Europe,53,No
15636,Single,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,36,No
16911,Married,Male,90000,0,Bachelors,Management,Yes,2,5-10 Miles,North America,66,No
11536,Married,Male,60000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,48,Yes
26314,Single,Male,30000,0,High School,Skilled Manual,Yes,2,2-5 Miles,North America,88,No
13526,Married,Female,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,28,Yes
27295,Single,Male,70000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,40,Yes
28540,Married,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,31,Yes
20097,Married,Female,40000,0,Partial College,Clerical,Yes,1,0-1 Miles,North America,51,Yes
11410,Married,Male,20000,1,Partial College,Manual,Yes,0,2-5 Miles,Europe,38,Yes
25758,Married,Female,20000,1,Partial College,Manual,No,0,1-2 Miles,Europe,38,Yes
16245,Single,Female,80000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,48,No
26804,Single,Female,50000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,32,No
16569,Single,Female,10000,0,Partial College,Manual,Yes,2,0-1 Miles,Europe,54,Yes
22919,Married,Male,80000,5,Bachelors,Professional,Yes,3,0-1 Miles,Pacific,40,No
17084,Single,Male,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,25,No
13657,Single,Female,110000,4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,65,Yes
25969,Married,Male,60000,2,Bachelors,Skilled Manual,No,2,0-1 Miles,North America,42,Yes
26306,Single,Male,60000,2,Bachelors,Skilled Manual,No,0,0-1 Miles,North America,37,Yes
18377,Single,Female,70000,2,Partial College,Professional,Yes,1,5-10 Miles,North America,50,Yes
25849,Married,Female,50000,0,Bachelors,Management,Yes,2,10+ Miles,North America,65,No
21703,Married,Female,30000,0,High School,Clerical,No,2,1-2 Miles,North America,51,No
13958,Married,Female,70000,5,Bachelors,Professional,Yes,3,10+ Miles,Pacific,39,Yes
