Date,Month Number,Month Name,Weekday Name
1/1/2005,1,January,Saturday
1/2/2005,1,January,Sunday
1/3/2005,1,January,Monday
1/4/2005,1,January,Tuesday
1/5/2005,1,January,Wednesday
1/6/2005,1,January,Thursday
1/7/2005,1,January,Friday
1/8/2005,1,January,Saturday
1/9/2005,1,January,Sunday
1/10/2005,1,January,Monday
1/11/2005,1,January,Tuesday
1/12/2005,1,January,Wednesday
1/13/2005,1,January,Thursday
1/14/2005,1,January,Friday
1/15/2005,1,January,Saturday
1/16/2005,1,January,Sunday
1/17/2005,1,January,Monday
1/18/2005,1,January,Tuesday
1/19/2005,1,January,Wednesday
1/20/2005,1,January,Thursday
1/21/2005,1,January,Friday
1/22/2005,1,January,Saturday
1/23/2005,1,January,Sunday
1/24/2005,1,January,Monday
1/25/2005,1,January,Tuesday
1/26/2005,1,January,Wednesday
1/27/2005,1,January,Thursday
1/28/2005,1,January,Friday
1/29/2005,1,January,Saturday
1/30/2005,1,January,Sunday
1/31/2005,1,January,Monday
2/1/2005,2,February,Tuesday
2/2/2005,2,February,Wednesday
2/3/2005,2,February,Thursday
2/4/2005,2,February,Friday
2/5/2005,2,February,Saturday
2/6/2005,2,February,Sunday
2/7/2005,2,February,Monday
2/8/2005,2,February,Tuesday
2/9/2005,2,February,Wednesday
2/10/2005,2,February,Thursday
2/11/2005,2,February,Friday
2/12/2005,2,February,Saturday
2/13/2005,2,February,Sunday
2/14/2005,2,February,Monday
2/15/2005,2,February,Tuesday
2/16/2005,2,February,Wednesday
2/17/2005,2,February,Thursday
2/18/2005,2,February,Friday
2/19/2005,2,February,Saturday
2/20/2005,2,February,Sunday
2/21/2005,2,February,Monday
2/22/2005,2,February,Tuesday
2/23/2005,2,February,Wednesday
2/24/2005,2,February,Thursday
2/25/2005,2,February,Friday
2/26/2005,2,February,Saturday
2/27/2005,2,February,Sunday
2/28/2005,2,February,Monday
3/1/2005,3,March,Tuesday
3/2/2005,3,March,Wednesday
3/3/2005,3,March,Thursday
3/4/2005,3,March,Friday
3/5/2005,3,March,Saturday
3/6/2005,3,March,Sunday
3/7/2005,3,March,Monday
3/8/2005,3,March,Tuesday
3/9/2005,3,March,Wednesday
3/10/2005,3,March,Thursday
3/11/2005,3,March,Friday
3/12/2005,3,March,Saturday
3/13/2005,3,March,Sunday
3/14/2005,3,March,Monday
3/15/2005,3,March,Tuesday
3/16/2005,3,March,Wednesday
3/17/2005,3,March,Thursday
3/18/2005,3,March,Friday
3/19/2005,3,March,Saturday
3/20/2005,3,March,Sunday
3/21/2005,3,March,Monday
