OrderID,UnitPrice,Quantity,Discount,StandardCost,OrderDate,ProductName,CategoryID
10248,14,12,0,8.2875,7/4/2006,Queso Cabrales,4
10248,9.8,10,0,16.8285,7/4/2006,Singaporean Hokkien Fried Mee,5
10248,34.8,5,0,5.85,7/4/2006,Mozzarella di Giovanni,4
10249,18.6,9,0,4.55,7/5/2006,Tofu,7
10249,42.4,40,0,24.7,7/5/2006,Manjimup Dried Apples,7
10250,7.7,10,0,22.62,7/8/2006,Jack's New England Clam Chowder,8
10250,42.4,35,0.150000006,24.7,7/8/2006,Manjimup Dried Apples,7
10250,16.8,15,0.150000006,7.8,7/8/2006,Louisiana Fiery Hot Pepper Sauce,2
10251,16.8,6,0.050000001,2.925,7/8/2006,Gustaf's Knäckebröd,5
10251,15.6,15,0.050000001,29.64,7/8/2006,Ravioli Angelo,5
10251,16.8,20,0,7.8,7/8/2006,Louisiana Fiery Hot Pepper Sauce,2
10252,64.8,40,0.050000001,16.25,7/9/2006,Sir Rodney's Marmalade,3
10252,2,25,0.050000001,9.1,7/9/2006,Geitost,4
10252,27.2,40,0,8.125,7/9/2006,Camembert Pierrot,4
10253,10,20,0,3.9,7/10/2006,Gorgonzola Telino,4
10253,14.4,42,0,13,7/10/2006,Chartreuse verte,1
10253,16,40,0,21.32,7/10/2006,Maxilaku,3
10254,3.6,15,0.150000006,12.6425,7/11/2006,Guaraná Fantástica,1
10254,19.2,21,0.150000006,9.75,7/11/2006,Pâté chinois,6
10254,8,21,0,10.5625,7/11/2006,Longlife Tofu,7
10255,15.2,20,0,6.5,7/12/2006,Chang,1
10255,13.9,35,0,1.625,7/12/2006,Pavlova,3
10255,15.2,25,0,11.05,7/12/2006,Inlagd Sill,8
10255,44,30,0,28.535,7/12/2006,Raclette Courdavault,4
10256,26.2,15,0,12.675,7/15/2006,Perth Pasties,6
10256,10.4,12,0,6.175,7/15/2006,Original Frankfurter grüne Soße,2
10257,35.1,25,0,20.15,7/16/2006,Schoggi Schokolade,3
10257,14.4,6,0,13,7/16/2006,Chartreuse verte,1
10257,10.4,15,0,6.175,7/16/2006,Original Frankfurter grüne Soße,2
10258,15.2,50,0.200000003,6.5,7/17/2006,Chang,1
10258,17,65,0.200000003,40.625,7/17/2006,Chef Anton's Gumbo Mix,2
10258,25.6,6,0.200000003,11.7,7/17/2006,Mascarpone Fabioli,4
10259,8,10,0,16.9,7/18/2006,Sir Rodney's Scones,3
10259,20.8,1,0,34.45,7/18/2006,Gravad lax,8
10260,7.7,16,0.25,22.62,7/19/2006,Jack's New England Clam Chowder,8
10260,15.6,50,0,29.64,7/19/2006,Ravioli Angelo,5
10260,39.4,15,0.25,52.65,7/19/2006,Tarte au sucre,3
10260,12,21,0.25,15.1125,7/19/2006,Outback Lager,1
10261,8,20,0,16.9,7/19/2006,Sir Rodney's Scones,3
10261,14.4,20,0,13.6825,7/19/2006,Steeleye Stout,1
10262,17,12,0.200000003,40.625,7/22/2006,Chef Anton's Gumbo Mix,2
10262,24,15,0,12.35,7/22/2006,Uncle Bob's Organic Dried Pears,7
10262,30.4,2,0,6.175,7/22/2006,Gnocchi di nonna Alice,5
10263,13.9,60,0.25,1.625,7/23/2006,Pavlova,3
10263,3.6,28,0,12.6425,7/23/2006,Guaraná Fantástica,1
10263,20.7,60,0.25,6.2725,7/23/2006,Nord-Ost Matjeshering,8
10263,8,36,0.25,10.5625,7/23/2006,Longlife Tofu,7
10264,15.2,35,0,6.5,7/24/2006,Chang,1
10264,7.7,25,0.150000006,22.62,7/24/2006,Jack's New England Clam Chowder,8
10265,31.2,30,0,10.075,7/25/2006,Alice Mutton,6
10265,12,20,0,15.1125,7/25/2006,Outback Lager,1
10266,30.4,12,0.050000001,171.275,7/26/2006,Queso Manchego La Pastora,4
10267,14.7,50,0,63.05,7/29/2006,Boston Crab Meat,8
10267,44,70,0.150000006,28.535,7/29/2006,Raclette Courdavault,4
10267,14.4,15,0.150000006,21.6125,7/29/2006,Lakkalikööri,1
10268,99,10,0,29.9,7/30/2006,Thüringer Rostbratwurst,6
10268,27.8,4,0,5.85,7/30/2006,Mozzarella di Giovanni,4
10269,2,60,0.050000001,9.1,7/31/2006,Geitost,4
10269,27.8,20,0.050000001,5.85,7/31/2006,Mozzarella di Giovanni,4
10270,15.2,30,0,11.05,8/1/2006,Inlagd Sill,8
10270,36.8,25,0,26,8/1/2006,Ipoh Coffee,1
10271,2,24,0,9.1,8/1/2006,Geitost,4
10272,64.8,6,0,16.25,8/2/2006,Sir Rodney's Marmalade,3
10272,10,40,0,3.9,8/2/2006,Gorgonzola Telino,4
10272,27.8,24,0,5.85,8/2/2006,Mozzarella di Giovanni,4
10273,24.8,24,0.050000001,13.8775,8/5/2006,Ikura,8
10273,10,15,0.050000001,3.9,8/5/2006,Gorgonzola Telino,4
10273,2,20,0,9.1,8/5/2006,Geitost,4
10273,14.7,60,0.050000001,63.05,8/5/2006,Boston Crab Meat,8
10273,14.4,33,0.050000001,21.6125,8/5/2006,Lakkalikööri,1
10274,17.2,20,0,4.8425,8/6/2006,Fløtemysost,4
10274,27.8,7,0,5.85,8/6/2006,Mozzarella di Giovanni,4
10275,3.6,12,0.050000001,12.6425,8/7/2006,Guaraná Fantástica,1
10275,44,6,0.050000001,28.535,8/7/2006,Raclette Courdavault,4
10276,24.8,15,0,13.8775,8/8/2006,Ikura,8
10276,4.8,10,0,8.6125,8/8/2006,Konbu,8
10277,36.4,20,0,12.35,8/9/2006,Rössle Sauerkraut,7
10277,39.4,12,0,52.65,8/9/2006,Tarte au sucre,3
10278,15.5,16,0,9.1,8/12/2006,Gula Malacca,2
10278,44,15,0,28.535,8/12/2006,Raclette Courdavault,4
10278,35.1,8,0,6.5,8/12/2006,Vegie-spread,2
10278,12,25,0,19.5,8/12/2006,Röd Kaviar,8
10279,31.2,15,0.25,10.075,8/13/2006,Alice Mutton,6
10280,3.6,12,0,12.6425,8/14/2006,Guaraná Fantástica,1
10280,19.2,20,0,9.75,8/14/2006,Pâté chinois,6
10280,6.2,30,0,28.535,8/14/2006,Rhönbräu Klosterbier,1
10281,7.3,1,0,8.125,8/14/2006,Teatime Chocolate Biscuits,3
10281,3.6,6,0,12.6425,8/14/2006,Guaraná Fantástica,1
10281,14.4,4,0,13.6825,8/14/2006,Steeleye Stout,1
10282,20.7,6,0,6.2725,8/15/2006,Nord-Ost Matjeshering,8
10282,15.6,2,0,29.64,8/15/2006,Ravioli Angelo,5
10283,12.4,20,0,13.975,8/16/2006,Genen Shouyu,2
10283,7.3,18,0,8.125,8/16/2006,Teatime Chocolate Biscuits,3
10283,27.2,35,0,8.125,8/16/2006,Camembert Pierrot,4
10283,27.8,3,0,5.85,8/16/2006,Mozzarella di Giovanni,4
10284,35.1,15,0.25,20.15,8/19/2006,Schoggi Schokolade,3
10284,15.5,21,0,9.1,8/19/2006,Gula Malacca,2
10284,27.2,20,0.25,8.125,8/19/2006,Camembert Pierrot,4
10284,11.2,5,0.25,32.045,8/19/2006,Laughing Lumberjack Lager,1
10285,14.4,45,0.200000003,25.35,8/20/2006,Chai,1
10285,14.7,40,0.200000003,63.05,8/20/2006,Boston Crab Meat,8
10285,26.2,36,0.200000003,12.675,8/20/2006,Perth Pasties,6
10286,14.4,100,0,13.6825,8/21/2006,Steeleye Stout,1
10286,39.4,40,0,52.65,8/21/2006,Tarte au sucre,3
10287,13.9,40,0.150000006,1.625,8/22/2006,Pavlova,3
10287,11.2,20,0,6.5,8/22/2006,Sasquatch Ale,1
10287,9.6,15,0.150000006,9.75,8/22/2006,Spegesild,8
10288,5.9,10,0.100000001,5.0375,8/23/2006,Tourtière,6
10288,10,3,0.100000001,5.98,8/23/2006,Scottish Longbreads,3
10289,8,30,0,11.96,8/26/2006,Aniseed Syrup,2
10289,26.6,9,0,18.525,8/26/2006,Wimmers gute Semmelknödel,5
10290,17,20,0,40.625,8/27/2006,Chef Anton's Gumbo Mix,2
10290,99,15,0,29.9,8/27/2006,Thüringer Rostbratwurst,6
10290,16,15,0,21.32,8/27/2006,Maxilaku,3
10290,10.4,10,0,6.175,8/27/2006,Original Frankfurter grüne Soße,2
10291,4.8,20,0.100000001,8.6125,8/27/2006,Konbu,8
10291,15.5,24,0.100000001,9.1,8/27/2006,Gula Malacca,2
10291,42.4,2,0.100000001,24.7,8/27/2006,Manjimup Dried Apples,7
10292,64.8,20,0,16.25,8/28/2006,Sir Rodney's Marmalade,3
10293,50,12,0,24.7,8/29/2006,Carnarvon Tigers,8
10293,3.6,10,0,12.6425,8/29/2006,Guaraná Fantástica,1
10293,35.1,5,0,6.5,8/29/2006,Vegie-spread,2
10293,6.2,6,0,28.535,8/29/2006,Rhönbräu Klosterbier,1
10294,14.4,18,0,25.35,8/30/2006,Chai,1
10294,31.2,15,0,10.075,8/30/2006,Alice Mutton,6
10294,36.8,15,0,26,8/30/2006,Ipoh Coffee,1
10294,27.2,21,0,8.125,8/30/2006,Camembert Pierrot,4
10294,6.2,6,0,28.535,8/30/2006,Rhönbräu Klosterbier,1
10295,30.4,4,0,6.175,9/2/2006,Gnocchi di nonna Alice,5
10296,16.8,12,0,8.2875,9/3/2006,Queso Cabrales,4
10296,13.9,30,0,1.625,9/3/2006,Pavlova,3
10296,28.8,15,0,80.4635,9/3/2006,Gudbrandsdalsost,4
10297,14.4,60,0,13,9/4/2006,Chartreuse verte,1
10297,27.8,20,0,5.85,9/4/2006,Mozzarella di Giovanni,4
10298,15.2,40,0,6.5,9/5/2006,Chang,1
10298,15.2,40,0.25,11.05,9/5/2006,Inlagd Sill,8
10298,44,30,0.25,28.535,9/5/2006,Raclette Courdavault,4
10298,39.4,15,0,52.65,9/5/2006,Tarte au sucre,3
10299,7.3,15,0,8.125,9/6/2006,Teatime Chocolate Biscuits,3
10299,12,20,0,15.1125,9/6/2006,Outback Lager,1
10300,13.6,30,0,11.7,9/9/2006,Louisiana Hot Spiced Okra,2
10300,10,20,0,5.98,9/9/2006,Scottish Longbreads,3
10301,14.7,10,0,63.05,9/9/2006,Boston Crab Meat,8
10301,30.4,20,0,6.175,9/9/2006,Gnocchi di nonna Alice,5
10302,31.2,40,0,10.075,9/10/2006,Alice Mutton,6
10302,36.4,28,0,12.35,9/10/2006,Rössle Sauerkraut,7
10302,36.8,12,0,26,9/10/2006,Ipoh Coffee,1
10303,14.7,40,0.100000001,63.05,9/11/2006,Boston Crab Meat,8
10303,16.8,30,0.100000001,7.8,9/11/2006,Louisiana Fiery Hot Pepper Sauce,2
10303,10,15,0.100000001,5.98,9/11/2006,Scottish Longbreads,3
10304,16,30,0,21.32,9/12/2006,Maxilaku,3
10304,44,10,0,28.535,9/12/2006,Raclette Courdavault,4
10304,17.2,2,0,4.8425,9/12/2006,Fløtemysost,4
10305,50,25,0.100000001,24.7,9/13/2006,Carnarvon Tigers,8
10305,99,25,0.100000001,29.9,9/13/2006,Thüringer Rostbratwurst,6
10305,14.4,30,0.100000001,13,9/13/2006,Chartreuse verte,1
10306,20.7,10,0,6.2725,9/16/2006,Nord-Ost Matjeshering,8
10306,26.2,10,0,12.675,9/16/2006,Perth Pasties,6
10306,5.9,5,0,5.0375,9/16/2006,Tourtière,6
10307,39.4,10,0,52.65,9/17/2006,Tarte au sucre,3
10307,10,3,0,5.98,9/17/2006,Scottish Longbreads,3
