OrderID,UnitPrice,Quantity,Discount,StandardCost,OrderDate,ProductName,CategoryName
10248,14,12,0,8.2875,7/4/2006,Queso Cabrales,Dairy Products
10248,9.8,10,0,16.8285,7/4/2006,Singaporean Hokkien Fried Mee,Grains/Cereals
10248,34.8,5,0,5.85,7/4/2006,Mozzarella di Giovanni,Dairy Products
10249,18.6,9,0,4.55,7/5/2006,Tofu,Produce
10249,42.4,40,0,24.7,7/5/2006,Manjimup Dried Apples,Produce
10250,7.7,10,0,22.62,7/8/2006,Jack's New England Clam Chowder,Seafood
10250,42.4,35,0.150000006,24.7,7/8/2006,Manjimup Dried Apples,Produce
10250,16.8,15,0.150000006,7.8,7/8/2006,Louisiana Fiery Hot Pepper Sauce,Condiments
10251,16.8,6,0.050000001,2.925,7/8/2006,Gustaf's Knäckebröd,Grains/Cereals
10251,15.6,15,0.050000001,29.64,7/8/2006,Ravioli Angelo,Grains/Cereals
10251,16.8,20,0,7.8,7/8/2006,Louisiana Fiery Hot Pepper Sauce,Condiments
10252,64.8,40,0.050000001,16.25,7/9/2006,Sir Rodney's Marmalade,Confections
10252,2,25,0.050000001,9.1,7/9/2006,Geitost,Dairy Products
10252,27.2,40,0,8.125,7/9/2006,Camembert Pierrot,Dairy Products
10253,10,20,0,3.9,7/10/2006,Gorgonzola Telino,Dairy Products
10253,14.4,42,0,13,7/10/2006,Chartreuse verte,Beverages
10253,16,40,0,21.32,7/10/2006,Maxilaku,Confections
10254,3.6,15,0.150000006,12.6425,7/11/2006,Guaraná Fantástica,Beverages
10254,19.2,21,0.150000006,9.75,7/11/2006,Pâté chinois,Meat/Poultry
10254,8,21,0,10.5625,7/11/2006,Longlife Tofu,Produce
10255,15.2,20,0,6.5,7/12/2006,Chang,Beverages
10255,13.9,35,0,1.625,7/12/2006,Pavlova,Confections
10255,15.2,25,0,11.05,7/12/2006,Inlagd Sill,Seafood
10255,44,30,0,28.535,7/12/2006,Raclette Courdavault,Dairy Products
10256,26.2,15,0,12.675,7/15/2006,Perth Pasties,Meat/Poultry
10256,10.4,12,0,6.175,7/15/2006,Original Frankfurter grüne Soße,Condiments
10257,35.1,25,0,20.15,7/16/2006,Schoggi Schokolade,Confections
10257,14.4,6,0,13,7/16/2006,Chartreuse verte,Beverages
10257,10.4,15,0,6.175,7/16/2006,Original Frankfurter grüne Soße,Condiments
10258,15.2,50,0.200000003,6.5,7/17/2006,Chang,Beverages
10258,17,65,0.200000003,40.625,7/17/2006,Chef Anton's Gumbo Mix,Condiments
10258,25.6,6,0.200000003,11.7,7/17/2006,Mascarpone Fabioli,Dairy Products
10259,8,10,0,16.9,7/18/2006,Sir Rodney's Scones,Confections
10259,20.8,1,0,34.45,7/18/2006,Gravad lax,Seafood
10260,7.7,16,0.25,22.62,7/19/2006,Jack's New England Clam Chowder,Seafood
10260,15.6,50,0,29.64,7/19/2006,Ravioli Angelo,Grains/Cereals
10260,39.4,15,0.25,52.65,7/19/2006,Tarte au sucre,Confections
10260,12,21,0.25,15.1125,7/19/2006,Outback Lager,Beverages
10261,8,20,0,16.9,7/19/2006,Sir Rodney's Scones,Confections
10261,14.4,20,0,13.6825,7/19/2006,Steeleye Stout,Beverages
10262,17,12,0.200000003,40.625,7/22/2006,Chef Anton's Gumbo Mix,Condiments
10262,24,15,0,12.35,7/22/2006,Uncle Bob's Organic Dried Pears,Produce
10262,30.4,2,0,6.175,7/22/2006,Gnocchi di nonna Alice,Grains/Cereals
10263,13.9,60,0.25,1.625,7/23/2006,Pavlova,Confections
10263,3.6,28,0,12.6425,7/23/2006,Guaraná Fantástica,Beverages
10263,20.7,60,0.25,6.2725,7/23/2006,Nord-Ost Matjeshering,Seafood
10263,8,36,0.25,10.5625,7/23/2006,Longlife Tofu,Produce
10264,15.2,35,0,6.5,7/24/2006,Chang,Beverages
10264,7.7,25,0.150000006,22.62,7/24/2006,Jack's New England Clam Chowder,Seafood
10265,31.2,30,0,10.075,7/25/2006,Alice Mutton,Meat/Poultry
10265,12,20,0,15.1125,7/25/2006,Outback Lager,Beverages
10266,30.4,12,0.050000001,171.275,7/26/2006,Queso Manchego La Pastora,Dairy Products
10267,14.7,50,0,63.05,7/29/2006,Boston Crab Meat,Seafood
10267,44,70,0.150000006,28.535,7/29/2006,Raclette Courdavault,Dairy Products
10267,14.4,15,0.150000006,21.6125,7/29/2006,Lakkalikööri,Beverages
10268,99,10,0,29.9,7/30/2006,Thüringer Rostbratwurst,Meat/Poultry
10268,27.8,4,0,5.85,7/30/2006,Mozzarella di Giovanni,Dairy Products
10269,2,60,0.050000001,9.1,7/31/2006,Geitost,Dairy Products
10269,27.8,20,0.050000001,5.85,7/31/2006,Mozzarella di Giovanni,Dairy Products
10270,15.2,30,0,11.05,8/1/2006,Inlagd Sill,Seafood
10270,36.8,25,0,26,8/1/2006,Ipoh Coffee,Beverages
10271,2,24,0,9.1,8/1/2006,Geitost,Dairy Products
10272,64.8,6,0,16.25,8/2/2006,Sir Rodney's Marmalade,Confections
10272,10,40,0,3.9,8/2/2006,Gorgonzola Telino,Dairy Products
10272,27.8,24,0,5.85,8/2/2006,Mozzarella di Giovanni,Dairy Products
10273,24.8,24,0.050000001,13.8775,8/5/2006,Ikura,Seafood
10273,10,15,0.050000001,3.9,8/5/2006,Gorgonzola Telino,Dairy Products
10273,2,20,0,9.1,8/5/2006,Geitost,Dairy Products
10273,14.7,60,0.050000001,63.05,8/5/2006,Boston Crab Meat,Seafood
10273,14.4,33,0.050000001,21.6125,8/5/2006,Lakkalikööri,Beverages
10274,17.2,20,0,4.8425,8/6/2006,Fløtemysost,Dairy Products
10274,27.8,7,0,5.85,8/6/2006,Mozzarella di Giovanni,Dairy Products
10275,3.6,12,0.050000001,12.6425,8/7/2006,Guaraná Fantástica,Beverages
10275,44,6,0.050000001,28.535,8/7/2006,Raclette Courdavault,Dairy Products
10276,24.8,15,0,13.8775,8/8/2006,Ikura,Seafood
10276,4.8,10,0,8.6125,8/8/2006,Konbu,Seafood
10277,36.4,20,0,12.35,8/9/2006,Rössle Sauerkraut,Produce
10277,39.4,12,0,52.65,8/9/2006,Tarte au sucre,Confections
10278,15.5,16,0,9.1,8/12/2006,Gula Malacca,Condiments
10278,44,15,0,28.535,8/12/2006,Raclette Courdavault,Dairy Products
10278,35.1,8,0,6.5,8/12/2006,Vegie-spread,Condiments
10278,12,25,0,19.5,8/12/2006,Röd Kaviar,Seafood
10279,31.2,15,0.25,10.075,8/13/2006,Alice Mutton,Meat/Poultry
10280,3.6,12,0,12.6425,8/14/2006,Guaraná Fantástica,Beverages
10280,19.2,20,0,9.75,8/14/2006,Pâté chinois,Meat/Poultry
10280,6.2,30,0,28.535,8/14/2006,Rhönbräu Klosterbier,Beverages
10281,7.3,1,0,8.125,8/14/2006,Teatime Chocolate Biscuits,Confections
10281,3.6,6,0,12.6425,8/14/2006,Guaraná Fantástica,Beverages
10281,14.4,4,0,13.6825,8/14/2006,Steeleye Stout,Beverages
10282,20.7,6,0,6.2725,8/15/2006,Nord-Ost Matjeshering,Seafood
10282,15.6,2,0,29.64,8/15/2006,Ravioli Angelo,Grains/Cereals
10283,12.4,20,0,13.975,8/16/2006,Genen Shouyu,Condiments
10283,7.3,18,0,8.125,8/16/2006,Teatime Chocolate Biscuits,Confections
10283,27.2,35,0,8.125,8/16/2006,Camembert Pierrot,Dairy Products
10283,27.8,3,0,5.85,8/16/2006,Mozzarella di Giovanni,Dairy Products
10284,35.1,15,0.25,20.15,8/19/2006,Schoggi Schokolade,Confections
10284,15.5,21,0,9.1,8/19/2006,Gula Malacca,Condiments
10284,27.2,20,0.25,8.125,8/19/2006,Camembert Pierrot,Dairy Products
10284,11.2,5,0.25,32.045,8/19/2006,Laughing Lumberjack Lager,Beverages
10285,14.4,45,0.200000003,25.35,8/20/2006,Chai,Beverages
10285,14.7,40,0.200000003,63.05,8/20/2006,Boston Crab Meat,Seafood
10285,26.2,36,0.200000003,12.675,8/20/2006,Perth Pasties,Meat/Poultry
10286,14.4,100,0,13.6825,8/21/2006,Steeleye Stout,Beverages
10286,39.4,40,0,52.65,8/21/2006,Tarte au sucre,Confections
10287,13.9,40,0.150000006,1.625,8/22/2006,Pavlova,Confections
10287,11.2,20,0,6.5,8/22/2006,Sasquatch Ale,Beverages
10287,9.6,15,0.150000006,9.75,8/22/2006,Spegesild,Seafood
10288,5.9,10,0.100000001,5.0375,8/23/2006,Tourtière,Meat/Poultry
10288,10,3,0.100000001,5.98,8/23/2006,Scottish Longbreads,Confections
10289,8,30,0,11.96,8/26/2006,Aniseed Syrup,Condiments
10289,26.6,9,0,18.525,8/26/2006,Wimmers gute Semmelknödel,Grains/Cereals
10290,17,20,0,40.625,8/27/2006,Chef Anton's Gumbo Mix,Condiments
10290,99,15,0,29.9,8/27/2006,Thüringer Rostbratwurst,Meat/Poultry
10290,16,15,0,21.32,8/27/2006,Maxilaku,Confections
10290,10.4,10,0,6.175,8/27/2006,Original Frankfurter grüne Soße,Condiments
10291,4.8,20,0.100000001,8.6125,8/27/2006,Konbu,Seafood
10291,15.5,24,0.100000001,9.1,8/27/2006,Gula Malacca,Condiments
10291,42.4,2,0.100000001,24.7,8/27/2006,Manjimup Dried Apples,Produce
10292,64.8,20,0,16.25,8/28/2006,Sir Rodney's Marmalade,Confections
10293,50,12,0,24.7,8/29/2006,Carnarvon Tigers,Seafood
10293,3.6,10,0,12.6425,8/29/2006,Guaraná Fantástica,Beverages
10293,35.1,5,0,6.5,8/29/2006,Vegie-spread,Condiments
10293,6.2,6,0,28.535,8/29/2006,Rhönbräu Klosterbier,Beverages
10294,14.4,18,0,25.35,8/30/2006,Chai,Beverages
10294,31.2,15,0,10.075,8/30/2006,Alice Mutton,Meat/Poultry
10294,36.8,15,0,26,8/30/2006,Ipoh Coffee,Beverages
10294,27.2,21,0,8.125,8/30/2006,Camembert Pierrot,Dairy Products
10294,6.2,6,0,28.535,8/30/2006,Rhönbräu Klosterbier,Beverages
10295,30.4,4,0,6.175,9/2/2006,Gnocchi di nonna Alice,Grains/Cereals
10296,16.8,12,0,8.2875,9/3/2006,Queso Cabrales,Dairy Products
10296,13.9,30,0,1.625,9/3/2006,Pavlova,Confections
10296,28.8,15,0,80.4635,9/3/2006,Gudbrandsdalsost,Dairy Products
10297,14.4,60,0,13,9/4/2006,Chartreuse verte,Beverages
10297,27.8,20,0,5.85,9/4/2006,Mozzarella di Giovanni,Dairy Products
10298,15.2,40,0,6.5,9/5/2006,Chang,Beverages
10298,15.2,40,0.25,11.05,9/5/2006,Inlagd Sill,Seafood
10298,44,30,0.25,28.535,9/5/2006,Raclette Courdavault,Dairy Products
10298,39.4,15,0,52.65,9/5/2006,Tarte au sucre,Confections
10299,7.3,15,0,8.125,9/6/2006,Teatime Chocolate Biscuits,Confections
10299,12,20,0,15.1125,9/6/2006,Outback Lager,Beverages
10300,13.6,30,0,11.7,9/9/2006,Louisiana Hot Spiced Okra,Condiments
10300,10,20,0,5.98,9/9/2006,Scottish Longbreads,Confections
10301,14.7,10,0,63.05,9/9/2006,Boston Crab Meat,Seafood
10301,30.4,20,0,6.175,9/9/2006,Gnocchi di nonna Alice,Grains/Cereals
10302,31.2,40,0,10.075,9/10/2006,Alice Mutton,Meat/Poultry
10302,36.4,28,0,12.35,9/10/2006,Rössle Sauerkraut,Produce
10302,36.8,12,0,26,9/10/2006,Ipoh Coffee,Beverages
10303,14.7,40,0.100000001,63.05,9/11/2006,Boston Crab Meat,Seafood
10303,16.8,30,0.100000001,7.8,9/11/2006,Louisiana Fiery Hot Pepper Sauce,Condiments
10303,10,15,0.100000001,5.98,9/11/2006,Scottish Longbreads,Confections
10304,16,30,0,21.32,9/12/2006,Maxilaku,Confections
10304,44,10,0,28.535,9/12/2006,Raclette Courdavault,Dairy Products
10304,17.2,2,0,4.8425,9/12/2006,Fløtemysost,Dairy Products
10305,50,25,0.100000001,24.7,9/13/2006,Carnarvon Tigers,Seafood
10305,99,25,0.100000001,29.9,9/13/2006,Thüringer Rostbratwurst,Meat/Poultry
10305,14.4,30,0.100000001,13,9/13/2006,Chartreuse verte,Beverages
10306,20.7,10,0,6.2725,9/16/2006,Nord-Ost Matjeshering,Seafood
10306,26.2,10,0,12.675,9/16/2006,Perth Pasties,Meat/Poultry
10306,5.9,5,0,5.0375,9/16/2006,Tourtière,Meat/Poultry
10307,39.4,10,0,52.65,9/17/2006,Tarte au sucre,Confections
10307,10,3,0,5.98,9/17/2006,Scottish Longbreads,Confections
10308,28.8,1,0,80.4635,9/18/2006,Gudbrandsdalsost,Dairy Products
10308,12,5,0,15.1125,9/18/2006,Outback Lager,Beverages
10309,17.6,20,0,22.1,9/19/2006,Chef Anton's Cajun Seasoning,Condiments
10309,20,30,0,11.7,9/19/2006,Grandma's Boysenberry Spread,Condiments
10309,11.2,2,0,16.8285,9/19/2006,Singaporean Hokkien Fried Mee,Grains/Cereals
10309,36.8,20,0,26,9/19/2006,Ipoh Coffee,Beverages
10309,17.2,3,0,4.8425,9/19/2006,Fløtemysost,Dairy Products
10310,13.9,10,0,1.625,9/20/2006,Pavlova,Confections
10310,39.4,5,0,52.65,9/20/2006,Tarte au sucre,Confections
10311,11.2,6,0,16.8285,9/20/2006,Singaporean Hokkien Fried Mee,Grains/Cereals
10311,28.8,7,0,80.4635,9/20/2006,Gudbrandsdalsost,Dairy Products
10312,36.4,4,0,12.35,9/23/2006,Rössle Sauerkraut,Produce
10312,36.8,24,0,26,9/23/2006,Ipoh Coffee,Beverages
10312,26.2,20,0,12.675,9/23/2006,Perth Pasties,Meat/Poultry
10312,6.2,10,0,28.535,9/23/2006,Rhönbräu Klosterbier,Beverages
10313,15.2,12,0,11.05,9/24/2006,Inlagd Sill,Seafood
10314,25.6,40,0.100000001,11.7,9/25/2006,Mascarpone Fabioli,Dairy Products
10314,10.6,30,0.100000001,9.1,9/25/2006,Escargots de Bourgogne,Seafood
10314,39.4,25,0.100000001,52.65,9/25/2006,Tarte au sucre,Confections
10315,11.2,14,0,6.5,9/26/2006,Sasquatch Ale,Beverages
10315,12,30,0,15.1125,9/26/2006,Outback Lager,Beverages
10316,7.7,10,0,22.62,9/27/2006,Jack's New England Clam Chowder,Seafood
10316,39.4,70,0,52.65,9/27/2006,Tarte au sucre,Confections
10317,14.4,20,0,25.35,9/30/2006,Chai,Beverages
10318,7.7,20,0,22.62,10/1/2006,Jack's New England Clam Chowder,Seafood
10318,14.4,6,0,21.6125,10/1/2006,Lakkalikööri,Beverages
10319,31.2,8,0,10.075,10/2/2006,Alice Mutton,Meat/Poultry
10319,36.4,14,0,12.35,10/2/2006,Rössle Sauerkraut,Produce
10319,14.4,30,0,21.6125,10/2/2006,Lakkalikööri,Beverages
10320,17.2,30,0,4.8425,10/3/2006,Fløtemysost,Dairy Products
10321,14.4,10,0,13.6825,10/3/2006,Steeleye Stout,Beverages
10322,5.6,20,0,35.75,10/4/2006,Filo Mix,Grains/Cereals
10323,12.4,5,0,13.975,10/7/2006,Genen Shouyu,Condiments
10323,11.2,4,0,20.2995,10/7/2006,NuNuCa Nuß-Nougat-Creme,Confections
10323,14.4,4,0,13,10/7/2006,Chartreuse verte,Beverages
10324,13.9,21,0.150000006,1.625,10/8/2006,Pavlova,Confections
10324,14.4,70,0.150000006,13.6825,10/8/2006,Steeleye Stout,Beverages
10324,9.6,30,0,9.75,10/8/2006,Spegesild,Seafood
10324,44,40,0.150000006,28.535,10/8/2006,Raclette Courdavault,Dairy Products
10324,35.1,80,0.150000006,6.5,10/8/2006,Vegie-spread,Condiments
10325,20,6,0,11.7,10/9/2006,Grandma's Boysenberry Spread,Condiments
10325,4.8,12,0,8.6125,10/9/2006,Konbu,Seafood
10325,18.6,9,0,4.55,10/9/2006,Tofu,Produce
10325,10,4,0,3.9,10/9/2006,Gorgonzola Telino,Dairy Products
10325,27.8,40,0,5.85,10/9/2006,Mozzarella di Giovanni,Dairy Products
10326,17.6,24,0,22.1,10/10/2006,Chef Anton's Cajun Seasoning,Condiments
10326,15.6,16,0,29.64,10/10/2006,Ravioli Angelo,Grains/Cereals
10326,6.2,50,0,28.535,10/10/2006,Rhönbräu Klosterbier,Beverages
10327,15.2,25,0.200000003,6.5,10/11/2006,Chang,Beverages
10327,16.8,50,0.200000003,8.2875,10/11/2006,Queso Cabrales,Dairy Products
10327,20.7,35,0.200000003,6.2725,10/11/2006,Nord-Ost Matjeshering,Seafood
10327,10.6,30,0.200000003,9.1,10/11/2006,Escargots de Bourgogne,Seafood
10328,44,9,0,28.535,10/14/2006,Raclette Courdavault,Dairy Products
10328,16.8,40,0,7.8,10/14/2006,Louisiana Fiery Hot Pepper Sauce,Condiments
10328,10,10,0,5.98,10/14/2006,Scottish Longbreads,Confections
10329,7.3,10,0.050000001,8.125,10/15/2006,Teatime Chocolate Biscuits,Confections
10329,20.7,8,0.050000001,6.2725,10/15/2006,Nord-Ost Matjeshering,Seafood
10329,210.8,20,0.050000001,20.8,10/15/2006,Côte de Blaye,Beverages
10329,30.4,12,0.050000001,6.175,10/15/2006,Gnocchi di nonna Alice,Grains/Cereals
10330,24.9,50,0.150000006,13.65,10/16/2006,Gumbär Gummibärchen,Confections
10330,27.8,25,0.150000006,5.85,10/16/2006,Mozzarella di Giovanni,Dairy Products
10331,5.9,15,0,5.0375,10/16/2006,Tourtière,Meat/Poultry
10332,50,40,0.200000003,24.7,10/17/2006,Carnarvon Tigers,Seafood
10332,11.2,10,0.200000003,16.8285,10/17/2006,Singaporean Hokkien Fried Mee,Grains/Cereals
10332,7.6,16,0.200000003,15.6,10/17/2006,Zaanse koeken,Confections
10333,18.6,10,0,4.55,10/18/2006,Tofu,Produce
10333,8,10,0.100000001,16.9,10/18/2006,Sir Rodney's Scones,Confections
10333,17.2,40,0.100000001,4.8425,10/18/2006,Fløtemysost,Dairy Products
10334,5.6,8,0,35.75,10/21/2006,Filo Mix,Grains/Cereals
10334,10,10,0,5.98,10/21/2006,Scottish Longbreads,Confections
10335,15.2,7,0.200000003,6.5,10/22/2006,Chang,Beverages
10335,10,25,0.200000003,3.9,10/22/2006,Gorgonzola Telino,Dairy Products
10335,25.6,6,0.200000003,11.7,10/22/2006,Mascarpone Fabioli,Dairy Products
10335,42.4,48,0.200000003,24.7,10/22/2006,Manjimup Dried Apples,Produce
10336,17.6,18,0.100000001,22.1,10/23/2006,Chef Anton's Cajun Seasoning,Condiments
10337,7.2,40,0,23.4,10/24/2006,Tunnbröd,Grains/Cereals
10337,24.9,24,0,13.65,10/24/2006,Gumbär Gummibärchen,Confections
10337,15.2,20,0,11.05,10/24/2006,Inlagd Sill,Seafood
10337,20.8,28,0,34.45,10/24/2006,Gravad lax,Seafood
10337,27.8,25,0,5.85,10/24/2006,Mozzarella di Giovanni,Dairy Products
10338,31.2,20,0,10.075,10/25/2006,Alice Mutton,Meat/Poultry
10338,20.7,15,0,6.2725,10/25/2006,Nord-Ost Matjeshering,Seafood
10339,17.6,10,0,22.1,10/28/2006,Chef Anton's Cajun Seasoning,Condiments
10339,31.2,70,0.050000001,10.075,10/28/2006,Alice Mutton,Meat/Poultry
10339,39.4,28,0,52.65,10/28/2006,Tarte au sucre,Confections
10340,50,20,0.050000001,24.7,10/29/2006,Carnarvon Tigers,Seafood
10340,7.7,12,0.050000001,22.62,10/29/2006,Jack's New England Clam Chowder,Seafood
10340,36.8,40,0.050000001,26,10/29/2006,Ipoh Coffee,Beverages
10341,2,8,0,9.1,10/29/2006,Geitost,Dairy Products
10341,44,9,0.150000006,28.535,10/29/2006,Raclette Courdavault,Dairy Products
10342,15.2,24,0.200000003,6.5,10/30/2006,Chang,Beverages
10342,10,56,0.200000003,3.9,10/30/2006,Gorgonzola Telino,Dairy Products
10342,15.2,40,0.200000003,11.05,10/30/2006,Inlagd Sill,Seafood
10342,19.2,40,0.200000003,9.75,10/30/2006,Pâté chinois,Meat/Poultry
10343,26.6,50,0,18.525,10/31/2006,Wimmers gute Semmelknödel,Grains/Cereals
10343,10,4,0.050000001,5.98,10/31/2006,Scottish Longbreads,Confections
10343,14.4,15,0,21.6125,10/31/2006,Lakkalikööri,Beverages
10344,17.6,35,0,22.1,11/1/2006,Chef Anton's Cajun Seasoning,Condiments
10344,32,70,0.25,11.7,11/1/2006,Northwoods Cranberry Sauce,Condiments
10345,32,70,0,11.7,11/4/2006,Northwoods Cranberry Sauce,Condiments
10345,7.3,80,0,8.125,11/4/2006,Teatime Chocolate Biscuits,Confections
10345,11.2,9,0,16.8285,11/4/2006,Singaporean Hokkien Fried Mee,Grains/Cereals
10346,31.2,36,0.100000001,10.075,11/5/2006,Alice Mutton,Meat/Poultry
10346,30.4,20,0,6.175,11/5/2006,Gnocchi di nonna Alice,Grains/Cereals
10347,11.2,10,0,20.2995,11/6/2006,NuNuCa Nuß-Nougat-Creme,Confections
10347,14.4,50,0.150000006,13,11/6/2006,Chartreuse verte,Beverages
10347,14.7,4,0,63.05,11/6/2006,Boston Crab Meat,Seafood
10347,6.2,6,0.150000006,28.535,11/6/2006,Rhönbräu Klosterbier,Beverages
10348,14.4,15,0.150000006,25.35,11/7/2006,Chai,Beverages
10348,7.2,25,0,23.4,11/7/2006,Tunnbröd,Grains/Cereals
10349,5.9,24,0,5.0375,11/8/2006,Tourtière,Meat/Poultry
10350,13,15,0.100000001,13.65,11/11/2006,Valkoinen suklaa,Confections
10350,28.8,18,0.100000001,80.4635,11/11/2006,Gudbrandsdalsost,Dairy Products
10351,210.8,20,0.050000001,20.8,11/11/2006,Côte de Blaye,Beverages
10351,7.7,13,0,22.62,11/11/2006,Jack's New England Clam Chowder,Seafood
10351,15.5,77,0.050000001,9.1,11/11/2006,Gula Malacca,Condiments
10351,16.8,10,0.050000001,7.8,11/11/2006,Louisiana Fiery Hot Pepper Sauce,Condiments
10352,3.6,10,0,12.6425,11/12/2006,Guaraná Fantástica,Beverages
10352,5.9,20,0.150000006,5.0375,11/12/2006,Tourtière,Meat/Poultry
10353,16.8,12,0.200000003,8.2875,11/13/2006,Queso Cabrales,Dairy Products
10353,210.8,50,0.200000003,20.8,11/13/2006,Côte de Blaye,Beverages
10354,14.4,12,0,25.35,11/14/2006,Chai,Beverages
10354,99,4,0,29.9,11/14/2006,Thüringer Rostbratwurst,Meat/Poultry
10355,3.6,25,0,12.6425,11/15/2006,Guaraná Fantástica,Beverages
10355,15.6,25,0,29.64,11/15/2006,Ravioli Angelo,Grains/Cereals
10356,10,30,0,3.9,11/18/2006,Gorgonzola Telino,Dairy Products
10356,19.2,12,0,9.75,11/18/2006,Pâté chinois,Meat/Poultry
10356,28.8,20,0,80.4635,11/18/2006,Gudbrandsdalsost,Dairy Products
10357,24.8,30,0.200000003,13.8775,11/19/2006,Ikura,Seafood
10357,24.9,16,0,13.65,11/19/2006,Gumbär Gummibärchen,Confections
10357,27.2,8,0.200000003,8.125,11/19/2006,Camembert Pierrot,Dairy Products
10358,3.6,10,0.050000001,12.6425,11/20/2006,Guaraná Fantástica,Beverages
10358,11.2,10,0.050000001,6.5,11/20/2006,Sasquatch Ale,Beverages
10358,15.2,20,0.050000001,11.05,11/20/2006,Inlagd Sill,Seafood
10359,13.9,56,0.050000001,1.625,11/21/2006,Pavlova,Confections
10359,10,70,0.050000001,3.9,11/21/2006,Gorgonzola Telino,Dairy Products
10359,27.2,80,0.050000001,8.125,11/21/2006,Camembert Pierrot,Dairy Products
10360,36.4,30,0,12.35,11/22/2006,Rössle Sauerkraut,Produce
10360,99,35,0,29.9,11/22/2006,Thüringer Rostbratwurst,Meat/Poultry
10360,210.8,10,0,20.8,11/22/2006,Côte de Blaye,Beverages
10360,16,35,0,21.32,11/22/2006,Maxilaku,Confections
10360,5.9,28,0,5.0375,11/22/2006,Tourtière,Meat/Poultry
10361,14.4,54,0.100000001,13,11/22/2006,Chartreuse verte,Beverages
10361,27.2,55,0.100000001,8.125,11/22/2006,Camembert Pierrot,Dairy Products
10362,11.2,50,0,20.2995,11/25/2006,NuNuCa Nuß-Nougat-Creme,Confections
10362,42.4,20,0,24.7,11/25/2006,Manjimup Dried Apples,Produce
10362,5.9,24,0,5.0375,11/25/2006,Tourtière,Meat/Poultry
10363,10,20,0,3.9,11/26/2006,Gorgonzola Telino,Dairy Products
10363,6.2,12,0,28.535,11/26/2006,Rhönbräu Klosterbier,Beverages
10363,14.4,12,0,21.6125,11/26/2006,Lakkalikööri,Beverages
10364,28.8,30,0,80.4635,11/26/2006,Gudbrandsdalsost,Dairy Products
10364,17.2,5,0,4.8425,11/26/2006,Fløtemysost,Dairy Products
10365,16.8,24,0,8.2875,11/27/2006,Queso Cabrales,Dairy Products
10366,16.8,5,0,7.8,11/28/2006,Louisiana Fiery Hot Pepper Sauce,Condiments
10366,10.4,5,0,6.175,11/28/2006,Original Frankfurter grüne Soße,Condiments
10367,11.2,36,0,6.5,11/28/2006,Sasquatch Ale,Beverages
10367,5.9,18,0,5.0375,11/28/2006,Tourtière,Meat/Poultry
10367,16.8,15,0,7.8,11/28/2006,Louisiana Fiery Hot Pepper Sauce,Condiments
10367,10.4,7,0,6.175,11/28/2006,Original Frankfurter grüne Soße,Condiments
10368,8,5,0.100000001,16.9,11/29/2006,Sir Rodney's Scones,Confections
10368,36.4,13,0.100000001,12.35,11/29/2006,Rössle Sauerkraut,Produce
