Date,Hotel,Region,Room Type,Occupancy Rate (%),Average Daily Rate (USD),Revenue (USD),Customer Rating
2024-03-13,Budget Lodge,West,Standard,74.21393324133795,176.86758889390893,18746.412784397256,4.618524750195919
2024-04-13,Seaside Resort,South,Suite,100.0,192.06201242033646,12012.605709877984,3.0436611636317576
2024-06-06,City Center Hotel,West,Standard,93.70337573302079,184.22525728464313,7522.292317508981,3.2430106334824993
2024-09-28,Seaside Resort,South,Standard,74.06993985950952,219.89972748061183,14938.507753459711,4.235093085304048
2024-11-10,Seaside Resort,East,Deluxe,89.2717391558713,226.17543080236842,14135.771625929445,4.361477667450605
2024-08-25,Mountain Inn,North,Suite,69.50239469447922,127.46883390860995,12821.177515146905,3.1284641435472036
2024-10-29,City Center Hotel,East,Standard,49.441926197599216,223.43862502953854,17211.584340822425,3.732027763309275
2024-06-06,City Center Hotel,North,Suite,61.133010178056686,120.68317864450728,11246.351964972006,3.575741317446239
2024-04-18,City Center Hotel,North,Suite,98.44333152762297,209.39279440688676,9240.012262104285,3.659326573982882
2024-01-09,Seaside Resort,North,Family Room,70.89010377256044,210.98693923514344,15545.41485174916,4.660518443391062
2024-11-16,Budget Lodge,East,Deluxe,71.34924030937474,84.4341554168748,16929.85046284438,4.494553824483077
2024-02-28,City Center Hotel,North,Deluxe,70.5024270558768,184.6489623264705,9116.775280499734,3.9866144741024048
2024-12-23,Seaside Resort,East,Deluxe,100.0,156.57519433198422,19640.453054955404,3.6178266510195507
2024-07-10,Mountain Inn,West,Family Room,99.38938373043095,142.06173710323125,6147.59431111961,3.0552452308459017
2024-05-15,Budget Lodge,South,Family Room,100.0,247.54261653495027,12109.432706421783,4.9941294571473644
2024-09-07,Mountain Inn,South,Deluxe,72.61432184399924,147.31604296812907,13709.957319011955,4.414479730199443
2024-05-25,Budget Lodge,North,Family Room,79.43436733120643,139.68115354409753,11818.88143674035,3.5053316271488018
2024-12-12,Seaside Resort,East,Family Room,52.25036175868813,183.78474700025467,12174.697632244039,4.503719648337424
2024-12-17,Luxury Stay,South,Family Room,97.15401639177412,214.27948731492083,24355.37241154057,3.950843465597762
2024-02-27,Budget Lodge,East,Deluxe,57.48330673098097,172.91757069949367,10745.579554805507,3.79902334659636
2024-06-25,Mountain Inn,East,Deluxe,78.25163345643944,238.3185272834626,27206.10861235957,4.304648069802722
2024-10-14,Seaside Resort,North,Deluxe,58.54046208550734,206.54878309820452,17185.63389865526,3.4809512250610926
2024-09-01,Budget Lodge,South,Family Room,66.16699759891956,71.08943401342849,15460.27568655996,3.759370436342923
2024-02-17,Luxury Stay,North,Deluxe,62.441063534254496,153.52665182464958,17381.201766938328,4.085022744939682
2024-10-27,Luxury Stay,North,Family Room,65.88187108986273,151.90789503241504,27649.638746259763,3.6503841649803506
2024-12-21,City Center Hotel,South,Standard,66.91315945276531,203.9680476714711,10032.03498034276,4.468359647187267
2024-04-09,City Center Hotel,South,Family Room,66.77596807612385,50.0,9397.910405318053,5.0
2024-07-31,Mountain Inn,West,Suite,87.50000867670461,307.4504854358861,11225.669017140395,3.471991307175
2024-10-28,Budget Lodge,West,Deluxe,58.4270581040622,206.5513047447105,15160.715734822805,2.834412292587169
2024-06-13,Budget Lodge,East,Deluxe,78.308121405208,187.44384019588455,6371.144375937134,2.598781882766617
2024-05-05,City Center Hotel,South,Suite,93.26938728458337,239.07838582095732,15111.69619659304,3.8946723009535122
2024-10-28,Budget Lodge,West,Family Room,67.30205453229905,297.18270264063125,23467.73566706836,3.5357847869116723
2024-04-30,Budget Lodge,East,Standard,64.23121663878597,223.53733222942014,15757.036953123888,4.145502350746956
2024-03-28,Luxury Stay,East,Suite,71.54213062229624,227.44065482358099,13536.572705123615,4.092818370418271
2024-08-04,City Center Hotel,East,Suite,92.69587812541064,186.5345012232191,11909.197756581863,2.877748207370133
2024-03-01,Seaside Resort,West,Family Room,77.91161446430037,172.92371233165258,19492.558522757823,2.7295813193630156
