SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,UnitPriceDiscountPct,ProductStandardCost,ShipDate,MonthName,MonthNumber,Quarter,Year,RepLastName,EmployeeTitle,ProductName,BusinessType,ResellerName,SalesTerritoryRegion,SalesTerritoryCountry,SalesTerritoryGroup
SO43659,1,1,2024.994,0,1898.0944,1/5/2011,January,1,1,2011,Reiter,Sales Representative,"Mountain-100 Black, 42",Value Added Reseller,Better Bike Shop,Southeast,United States,North America
SO43659,2,3,2024.994,0,1898.0944,1/5/2011,January,1,1,2011,Reiter,Sales Representative,"Mountain-100 Black, 44",Value Added Reseller,Better Bike Shop,Southeast,United States,North America
SO43659,3,1,2024.994,0,1898.0944,1/5/2011,January,1,1,2011,Reiter,Sales Representative,"Mountain-100 Black, 48",Value Added Reseller,Better Bike Shop,Southeast,United States,North America
SO43659,4,1,2039.994,0,1912.1544,1/5/2011,January,1,1,2011,Reiter,Sales Representative,"Mountain-100 Silver, 38",Value Added Reseller,Better Bike Shop,Southeast,United States,North America
SO43659,5,1,2039.994,0,1912.1544,1/5/2011,January,1,1,2011,Reiter,Sales Representative,"Mountain-100 Silver, 42",Value Added Reseller,Better Bike Shop,Southeast,United States,North America
SO43659,6,2,2039.994,0,1912.1544,1/5/2011,January,1,1,2011,Reiter,Sales Representative,"Mountain-100 Silver, 44",Value Added Reseller,Better Bike Shop,Southeast,United States,North America
SO43659,7,1,2039.994,0,1912.1544,1/5/2011,January,1,1,2011,Reiter,Sales Representative,"Mountain-100 Silver, 48",Value Added Reseller,Better Bike Shop,Southeast,United States,North America
SO43659,8,3,28.8404,0,31.7244,1/5/2011,January,1,1,2011,Reiter,Sales Representative,"Long-Sleeve Logo Jersey, M",Value Added Reseller,Better Bike Shop,Southeast,United States,North America
SO43659,9,1,28.8404,0,31.7244,1/5/2011,January,1,1,2011,Reiter,Sales Representative,"Long-Sleeve Logo Jersey, XL",Value Added Reseller,Better Bike Shop,Southeast,United States,North America
SO43907,1,2,28.8404,0,31.7244,2/5/2011,February,2,1,2011,Blythe,Sales Representative,"Long-Sleeve Logo Jersey, L",Warehouse,Leather and Vinyl Manufacturing,Northeast,United States,North America
