,Income,Lot_Size,Ownership
0,90.2,18.6,Owner
1,96.6,17.5,Owner
2,63.9,15.9,Nonowner
3,92.8,18.6,Owner
4,61.8,18.0,Owner
5,76.5,14.8,Nonowner
6,38.2,14.2,Nonowner
7,82.1,14.1,Nonowner
8,66.5,18.9,Nonowner
9,78.9,19.4,Nonowner
10,40.1,18.3,Nonowner
11,100.0,18.5,Owner
12,102.2,20.5,Owner
13,100.2,18.4,Owner
14,92.8,21.7,Owner
15,61.0,14.9,Nonowner
16,58.6,18.7,Nonowner
17,55.4,18.4,Owner
18,88.7,23.1,Owner
19,51.3,17.1,Owner
20,72.2,21.4,Owner
21,74.0,21.6,Owner
22,81.7,19.0,Owner
23,52.2,19.8,Owner
24,86.5,23.3,Owner
25,62.7,18.1,Owner
26,91.4,23.6,Owner
27,96.0,20.6,Owner
28,98.4,20.7,Owner
29,50.3,18.8,Nonowner
30,76.5,21.4,Owner
31,65.3,18.4,Nonowner
32,79.6,18.0,Nonowner
33,55.4,17.5,Owner
34,49.2,18.8,Nonowner
35,42.0,15.9,Nonowner
36,97.4,23.3,Owner
37,53.0,14.5,Nonowner
38,54.4,19.1,Owner
39,41.2,17.2,Nonowner
40,74.3,18.4,Nonowner
41,83.5,18.2,Nonowner
42,82.6,17.0,Nonowner
43,62.0,20.6,Nonowner
44,82.0,22.6,Owner
45,78.0,22.6,Owner
46,65.7,17.9,Nonowner
47,86.3,23.3,Owner
48,47.3,17.7,Nonowner
49,63.5,17.4,Owner
50,83.3,18.9,Owner
51,53.0,19.4,Owner
52,105.5,18.5,Owner
53,54.8,16.9,Owner
54,59.3,21.4,Owner
55,65.2,20.5,Nonowner
56,87.8,19.6,Owner
57,86.9,22.7,Owner
58,102.0,21.8,Owner
59,72.8,14.6,Nonowner
60,94.1,23.5,Owner
61,48.0,14.3,Nonowner
62,61.4,14.7,Nonowner
63,86.4,17.6,Owner
64,66.3,23.7,Owner
65,53.7,19.9,Owner
66,64.4,16.7,Nonowner
67,80.3,15.7,Nonowner
68,58.1,22.7,Owner
69,98.8,18.4,Owner
70,67.6,19.4,Owner
71,103.9,18.8,Owner
72,77.2,14.2,Nonowner
73,49.6,14.4,Nonowner
74,46.5,19.4,Nonowner
75,73.1,20.6,Owner
76,78.5,14.2,Nonowner
77,80.2,23.3,Owner
78,38.0,17.0,Nonowner
79,84.2,18.5,Owner
80,67.0,22.3,Owner
81,58.2,20.5,Owner
82,44.4,15.5,Nonowner
83,33.3,19.6,Nonowner
84,69.8,15.7,Nonowner
85,107.2,19.9,Owner
86,72.1,22.0,Owner
87,68.3,17.6,Nonowner
88,68.8,19.8,Nonowner
89,78.9,21.6,Owner
90,96.8,20.4,Owner
91,78.8,16.3,Nonowner
92,73.5,19.7,Nonowner
93,66.1,17.7,Nonowner
94,41.6,17.2,Nonowner
95,58.6,17.9,Nonowner
96,33.8,16.9,Nonowner
97,96.6,19.1,Owner
98,45.4,15.8,Nonowner
99,71.1,17.6,Nonowner
100,87.2,22.6,Owner
101,69.3,18.2,Nonowner
102,106.5,17.2,Owner
103,50.8,19.4,Nonowner
104,56.2,17.8,Owner
105,108.3,22.2,Owner
106,65.9,18.5,Nonowner
107,45.1,14.6,Nonowner
108,68.2,23.1,Owner
109,43.0,15.1,Nonowner
110,99.2,21.1,Owner
111,96.6,20.5,Owner
112,51.9,18.2,Nonowner
113,68.3,23.2,Owner
114,70.0,20.1,Nonowner
115,62.8,19.1,Owner
116,69.0,17.7,Owner
117,62.6,20.3,Owner
118,70.2,17.6,Owner
119,56.8,19.2,Owner
120,109.3,22.8,Owner
121,51.3,18.5,Nonowner
122,61.1,23.0,Owner
123,103.4,18.7,Owner
124,70.2,18.5,Owner
125,53.7,23.9,Owner
126,72.7,20.7,Owner
127,81.4,17.6,Owner
128,52.6,14.3,Nonowner
129,70.6,23.5,Owner
130,77.7,16.5,Nonowner
131,34.2,18.9,Nonowner
132,69.0,23.5,Owner
133,94.1,16.9,Owner
134,81.7,19.0,Nonowner
135,80.3,21.9,Owner
136,62.1,15.2,Nonowner
137,68.5,17.2,Nonowner
138,61.7,18.9,Owner
139,74.3,14.5,Nonowner
140,108.1,19.8,Owner
141,59.4,14.3,Nonowner
142,82.3,19.2,Nonowner
143,37.3,14.2,Nonowner
144,59.2,18.1,Owner
145,83.1,21.4,Owner
146,51.8,16.2,Nonowner
147,66.8,14.3,Nonowner
148,104.7,23.8,Owner
149,76.3,18.3,Nonowner
150,77.0,19.1,Owner
151,60.2,21.4,Owner
152,69.4,20.4,Owner
153,93.2,20.8,Owner
154,81.0,20.5,Nonowner
155,107.1,20.5,Owner
156,54.8,16.4,Nonowner
157,94.3,17.0,Owner
158,48.0,15.1,Nonowner
159,54.8,17.8,Owner
160,79.7,17.8,Nonowner
161,61.9,17.1,Owner
162,37.8,17.5,Nonowner
163,108.3,21.2,Owner
164,59.1,20.4,Nonowner
165,60.2,17.0,Owner
166,78.2,16.6,Nonowner
167,78.8,17.7,Nonowner
168,66.3,19.2,Nonowner
169,33.5,18.0,Nonowner
170,80.7,17.3,Nonowner
171,62.4,16.8,Nonowner
172,69.4,19.3,Owner
173,58.1,15.2,Nonowner
174,57.8,18.1,Owner
175,76.4,19.8,Nonowner
176,86.0,18.4,Owner
177,41.2,16.4,Nonowner
178,68.5,17.4,Nonowner
179,70.8,18.3,Nonowner
