Date,Channel,Campaign_ID,Sessions,Bounce_Rate,Page_Load_Time_sec
2025-09-01,Google Ads,G_Search_Brnd,248,0.3439,2.69
2025-09-01,Google Ads,G_Shopping_S,161,0.3094,2.78
2025-09-01,Facebook/Insta,F_Retarget_C,57,0.7679,4.63
2025-09-01,Google Ads,G_Search_Brnd,227,0.3371,2.74
2025-09-01,Facebook/Insta,F_Lookalike_T,99,0.7734,4.94
2025-09-02,Google Ads,G_Search_Brnd,325,0.3555,2.05
2025-09-02,Facebook/Insta,F_Retarget_C,98,0.7447,5.26
2025-09-02,Google Ads,G_Shopping_S,196,0.3971,2.71
2025-09-02,Google Ads,G_Search_Generic,291,0.3195,2.37
2025-09-02,Facebook/Insta,F_Retarget_C,243,0.6731,5.18
2025-09-03,Google Ads,G_Search_Generic,301,0.3968,2.26
2025-09-03,Facebook/Insta,F_Lookalike_T,135,0.7204,4.69
2025-09-03,Google Ads,G_Shopping_S,329,0.3476,2.18
2025-09-03,Google Ads,G_Shopping_S,475,0.3437,2.67
2025-09-03,Facebook/Insta,F_Retarget_C,194,0.6969,5.33
2025-09-04,Google Ads,G_Search_Brnd,199,0.3387,2.23
2025-09-04,Facebook/Insta,F_Retarget_C,138,0.421,2.94
2025-09-04,Facebook/Insta,F_Lookalike_T,110,0.518,3.27
2025-09-04,Google Ads,G_Search_Generic,291,0.3781,2.37
2025-09-04,Google Ads,G_Search_Generic,169,0.314,2.09
2025-09-05,Google Ads,G_Shopping_S,363,0.3471,2.45
2025-09-05,Facebook/Insta,F_Retarget_C,93,0.4952,3.19
2025-09-05,Google Ads,G_Search_Generic,205,0.3304,2.02
2025-09-05,Google Ads,G_Search_Generic,232,0.3215,2.33
2025-09-05,Google Ads,G_Search_Brnd,265,0.3234,2.05
2025-09-06,Google Ads,G_Search_Brnd,385,0.3294,2.53
2025-09-06,Google Ads,G_Search_Generic,298,0.3784,2.53
2025-09-06,Facebook/Insta,F_Retarget_C,87,0.5221,2.92
2025-09-06,Google Ads,G_Search_Generic,310,0.309,2.58
2025-09-06,Google Ads,G_Shopping_S,182,0.3161,2.4
2025-09-07,Facebook/Insta,F_Lookalike_T,223,0.5044,3.11
2025-09-07,Google Ads,G_Search_Brnd,469,0.3302,2.5
2025-09-07,Google Ads,G_Shopping_S,219,0.3088,2.09
2025-09-07,Google Ads,G_Search_Generic,352,0.3909,2.56
2025-09-07,Facebook/Insta,F_Retarget_C,141,0.5454,3.35
2025-09-08,Facebook/Insta,F_Retarget_C,167,0.7174,4.77
2025-09-08,Facebook/Insta,F_Lookalike_T,146,0.7854,4.96
