ShipDateKey,SONumber,SOLineNumber,OrderQuantity,UnitPrice,ShipDate,ProductName,ProductSubcategory
20080101,SO60716,1,1,4.99,1/1/2008,Mountain Tire Tube,Tires and Tubes
20080102,SO60779,1,1,4.99,1/2/2008,Mountain Tire Tube,Tires and Tubes
20080102,SO60784,1,1,4.99,1/2/2008,Mountain Tire Tube,Tires and Tubes
20080102,SO60785,1,1,4.99,1/2/2008,Mountain Tire Tube,Tires and Tubes
20080102,SO60793,1,1,4.99,1/2/2008,Mountain Tire Tube,Tires and Tubes
20080102,SO60800,1,1,4.99,1/2/2008,Mountain Tire Tube,Tires and Tubes
20080102,SO60807,1,1,4.99,1/2/2008,Mountain Tire Tube,Tires and Tubes
20080104,SO60897,1,1,4.99,1/4/2008,Mountain Tire Tube,Tires and Tubes
20080104,SO60904,1,1,4.99,1/4/2008,Mountain Tire Tube,Tires and Tubes
20080104,SO60905,1,1,4.99,1/4/2008,Mountain Tire Tube,Tires and Tubes
20080104,SO60911,1,1,4.99,1/4/2008,Mountain Tire Tube,Tires and Tubes
20080104,SO60912,1,1,4.99,1/4/2008,Mountain Tire Tube,Tires and Tubes
20080105,SO60984,1,1,4.99,1/5/2008,Mountain Tire Tube,Tires and Tubes
20080105,SO60985,1,1,4.99,1/5/2008,Mountain Tire Tube,Tires and Tubes
20080105,SO60986,1,1,4.99,1/5/2008,Mountain Tire Tube,Tires and Tubes
20080105,SO60988,1,1,4.99,1/5/2008,Mountain Tire Tube,Tires and Tubes
20080105,SO60990,1,1,4.99,1/5/2008,Mountain Tire Tube,Tires and Tubes
20080105,SO60993,1,1,4.99,1/5/2008,Mountain Tire Tube,Tires and Tubes
20080105,SO60996,1,1,4.99,1/5/2008,Mountain Tire Tube,Tires and Tubes
20080105,SO60998,1,1,4.99,1/5/2008,Mountain Tire Tube,Tires and Tubes
20080105,SO61000,1,1,4.99,1/5/2008,Mountain Tire Tube,Tires and Tubes
