Applicant,GPA,Math,EBWR,SAT,Extra,Result
1,2.51,322,531,853,139,Declined
2,2.59,667,582,1249,759,Accepted
3,2.85,536,543,1079,161,Accepted
4,2.6,618,562,1180,847,Declined
5,2.77,469,547,1016,395,Declined
6,3.05,656,624,1280,961,Accepted
7,3.29,528,702,1230,271,Declined
8,2.66,399,536,935,974,Declined
9,3.35,355,523,878,344,Declined
10,3.38,629,601,1230,518,Accepted
11,3.02,512,548,1060,286,Declined
12,3.34,456,372,828,765,Declined
13,3.34,589,616,1205,451,Accepted
14,3.04,371,601,972,378,Declined
15,3.04,579,645,1224,735,Accepted
16,3.38,491,613,1104,139,Accepted
17,3.76,440,482,922,922,Declined
18,3.77,610,576,1186,975,Accepted
19,3.69,567,550,1117,520,Accepted
20,3.15,485,688,1173,807,Declined
21,3.76,569,592,1161,416,Accepted
22,3.91,702,553,1255,726,Accepted
23,3.07,471,596,1067,552,Declined
24,2.29,411,386,797,661,Declined
25,3.99,474,555,1029,462,Accepted
26,3.69,493,555,1048,743,Accepted
27,3.41,554,619,1173,571,Accepted
28,3.69,512,624,1136,425,Accepted
29,3.4,538,591,1129,780,Accepted
30,3.68,621,559,1180,508,Accepted
31,3.22,740,590,1330,709,Accepted
32,3.05,486,424,910,717,Declined
33,2.39,393,492,885,897,Declined
34,3.12,583,615,1198,123,Declined
35,2.94,533,533,1066,508,Declined
36,3.45,546,653,1199,784,Accepted
37,2.72,481,453,934,532,Declined
38,4,626,635,1261,913,Accepted
39,2.78,634,584,1218,913,Declined
40,3.32,535,619,1154,653,Declined
41,3.48,442,468,910,345,Declined
42,2.61,567,568,1135,962,Accepted
43,3.09,669,642,1311,952,Accepted
44,2.97,470,376,846,854,Declined
45,3.47,745,654,1399,117,Accepted
46,4,736,550,1286,763,Accepted
47,3.63,747,608,1355,408,Accepted
48,2.95,582,479,1061,543,Declined
49,3.67,566,652,1218,882,Accepted
50,3.03,392,611,1003,851,Declined
51,3.96,563,567,1130,373,Accepted
52,3.63,586,549,1135,730,Accepted
53,2.53,541,495,1036,793,Declined
54,3.5,530,531,1061,527,Accepted
55,3.62,463,628,1091,805,Accepted
56,3.5,683,609,1292,328,Accepted
57,2.83,602,478,1080,572,Declined
58,3.5,478,393,871,818,Declined
59,4,422,625,1047,668,Accepted
60,4,646,547,1193,929,Accepted
61,3.33,617,507,1124,824,Declined
62,2.5,500,597,1097,536,Declined
63,3.74,484,552,1036,482,Accepted
64,3.17,615,570,1185,496,Declined
65,3.25,410,442,852,298,Declined
66,2.09,398,544,942,869,Declined
67,3.06,601,408,1009,189,Declined
68,3.8,574,655,1229,536,Accepted
69,3.31,547,418,965,507,Declined
70,3.16,353,568,921,534,Declined
71,3.34,602,629,1231,602,Accepted
72,3.95,450,605,1055,293,Accepted
73,3.43,606,625,1231,690,Accepted
74,3.07,557,565,1122,598,Declined
75,4,542,601,1143,905,Accepted
76,2.8,588,402,990,448,Declined
77,3.36,540,582,1122,202,Accepted
78,3.52,584,582,1166,847,Accepted
79,3.68,591,619,1210,864,Accepted
80,3.11,546,572,1118,946,Accepted
81,3.19,455,491,946,193,Declined
82,2.65,618,387,1005,373,Declined
83,2.85,469,492,961,994,Declined
84,3.25,650,585,1235,461,Accepted
85,3.19,602,315,917,731,Declined
86,2.85,457,602,1059,287,Declined
87,3.76,621,585,1206,460,Accepted
88,3.4,403,558,961,537,Declined
89,2.93,726,666,1392,668,Accepted
90,3.71,635,600,1235,172,Accepted
91,3.05,498,561,1059,265,Accepted
92,2.83,594,543,1137,338,Declined
93,2.68,571,277,848,633,Declined
94,3.51,378,294,672,603,Declined
95,2.6,546,538,1084,532,Declined
96,2.52,327,408,735,611,Declined
97,2.87,527,497,1024,595,Declined
98,3.79,673,631,1304,409,Accepted
99,3.78,610,615,1225,311,Accepted
100,2.79,620,536,1156,425,Declined
101,3.8,648,568,1216,503,Accepted
102,3.54,545,583,1128,199,Accepted
103,3.77,542,630,1172,890,Accepted
104,2.94,492,331,823,539,Declined
