"enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
12267,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","Other",">20","50-99","Pvt Ltd","1",78,0
26649,"city_71",0.884,"Male","Has relevent experience","no_enrollment","Graduate","STEM","18","<10","Funded Startup",">4",92,0
1484,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","5000-9999","Pvt Ltd",">4",7,0
25134,"city_16",0.91,"Female","Has relevent experience","Part time course","Graduate","No Major","16","<10","Pvt Ltd","1",45,0
14391,"city_21",0.624,"Female","Has relevent experience","no_enrollment","Graduate","STEM","5","1000-4999","Pvt Ltd","1",37,1
26092,"city_71",0.884,"Male","Has relevent experience","Part time course","Graduate","STEM","9","10/49","Pvt Ltd","3",65,0
19901,"city_160",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","19","5000-9999","Pvt Ltd",">4",37,0
23591,"city_23",0.899,"Male","Has relevent experience","Part time course","Graduate","STEM",">20","100-500","Pvt Ltd","2",83,1
14107,"city_28",0.9390000000000001,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd","2",15,0
24824,"city_99",0.915,"Female","No relevent experience","no_enrollment","Phd","Humanities","10","1000-4999","NGO","2",41,0
28049,"city_103",0.92,"Female","No relevent experience","no_enrollment","Graduate","STEM","5","50-99","Public Sector","1",6,0
14919,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","50-99","Pvt Ltd","1",41,1
30589,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","50-99","Pvt Ltd","3",196,1
24949,"city_64",0.6659999999999999,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","100-500","NGO","1",1,0
6563,"city_101",0.5579999999999999,"Male","Has relevent experience","no_enrollment","Graduate","STEM","3","100-500","Pvt Ltd",">4",87,1
5184,"city_74",0.579,"Male","No relevent experience","Part time course","Graduate","STEM","2","100-500","Pvt Ltd","1",16,1
9857,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","4","500-999","Pvt Ltd","1",86,0
