ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
2487,61,36,130,92717,1,1.3,1,257,0,0,0,0,0
2641,39,13,81,94309,2,2.8,1,0,0,0,0,1,0
3495,29,2,31,91330,4,1.5,2,0,0,0,0,0,0
2553,39,15,65,95822,1,1.5,3,0,0,0,0,0,0
1851,36,10,20,90033,4,0.3,1,97,0,0,0,1,0
1460,47,20,38,92115,3,2.5,2,0,0,0,0,0,0
3975,46,21,41,94305,1,0.5,3,0,0,0,0,0,0
2353,46,19,59,93555,3,2.67,2,0,0,0,0,0,0
4269,49,23,108,95616,2,2.4,2,0,0,0,0,1,0
2415,34,10,134,91775,1,4.0,1,0,0,0,0,0,0
3592,58,32,73,94109,2,2.3,3,224,0,0,0,1,1
4839,56,30,44,91330,4,2.5,1,0,0,0,0,0,1
1317,28,3,51,94086,2,1.6,3,123,0,0,0,0,0
3252,52,26,78,90720,3,3.0,2,0,0,0,0,0,1
2794,57,33,122,94301,2,6.0,1,153,0,1,1,1,1
4518,45,18,50,91902,3,2.5,2,0,0,0,0,1,0
217,27,3,125,95521,2,0.6,1,0,0,0,0,0,0
4901,26,1,74,90028,4,2.2,1,0,0,0,0,1,0
4146,58,34,63,94305,4,1.6,2,0,0,0,0,0,0
1191,39,15,168,93117,2,8.0,1,152,0,1,0,0,0
1726,57,32,19,95348,1,1.3,1,0,0,0,0,1,0
1013,50,25,40,95820,1,1.3,2,0,0,0,0,1,1
3732,34,8,10,92867,1,0.4,2,0,0,0,0,1,0
4231,62,36,115,92093,2,2.8,1,202,0,0,0,1,1
638,53,28,31,90245,4,0.1,3,0,0,0,0,1,0
1469,45,18,78,92129,3,2.67,2,0,0,0,0,1,0
1754,53,29,25,92008,2,0.4,1,0,0,0,0,1,0
3711,49,22,23,90032,2,1.0,2,0,0,0,0,1,1
4972,58,28,73,90024,1,1.4,3,0,0,1,0,0,0
821,51,25,145,90740,1,0.3,1,0,0,0,0,1,0
275,30,5,74,95616,4,2.2,1,0,0,1,0,0,1
3376,43,18,88,90089,4,1.1,2,0,0,0,0,1,0
4503,57,32,80,92647,2,0.0,3,0,0,0,0,0,0
1477,61,37,64,92028,1,0.0,2,0,0,0,0,0,1
1549,57,32,21,92037,4,0.9,2,113,0,1,0,0,0
4101,27,2,41,90254,2,1.7,2,0,0,0,0,1,0
391,45,19,45,92521,1,0.2,1,0,0,0,0,1,0
4657,47,21,38,91101,3,0.6,2,0,0,1,0,0,0
2570,35,10,139,90024,1,4.6,1,0,0,0,0,0,0
4193,50,26,21,91768,1,0.2,1,89,0,0,0,1,0
2888,40,16,109,94025,2,2.2,1,0,0,0,0,1,0
6,37,13,29,92121,4,0.4,2,155,0,0,0,1,0
4401,34,10,44,94143,1,1.33,1,0,0,0,0,1,0
4985,27,1,98,94043,4,2.3,3,0,0,0,0,0,1
3717,55,29,65,91773,3,2.5,1,0,0,0,0,0,0
4011,44,19,40,94618,4,1.9,3,84,0,0,0,0,0
1148,37,13,111,91367,1,0.8,2,0,0,0,0,0,0
4474,31,5,18,92115,2,0.3,1,124,0,0,0,1,1
1749,49,23,79,95819,3,0.7,2,151,0,0,0,1,0
2225,38,12,29,92084,2,1.4,3,0,0,0,0,1,0
3536,52,27,65,92104,1,1.2,1,0,0,0,0,1,1
180,62,37,11,91942,1,0.1,1,0,0,0,0,1,0
3562,30,6,31,94720,3,1.0,2,142,0,0,0,0,0
4089,29,-1,71,94801,2,1.75,3,0,0,0,0,0,0
2198,60,35,34,94102,1,0.3,3,0,0,0,0,1,0
3224,43,18,29,95126,1,0.5,3,0,0,0,0,1,0
1816,65,39,18,94923,2,0.4,1,0,0,1,1,1,1
2984,56,32,90,95054,2,0.3,1,0,0,0,0,1,1
423,46,20,145,91380,2,6.3,1,0,0,1,1,1,0
2932,31,4,54,91741,2,1.0,2,109,0,0,0,0,1
2227,25,1,98,90717,1,5.4,1,0,0,0,0,1,0
4468,55,30,99,91768,1,0.1,3,0,0,0,0,0,0
1585,46,20,25,93401,4,0.6,3,125,0,0,0,0,0
4751,66,41,38,95134,1,1.1,3,0,0,0,0,0,1
3693,57,33,64,94132,4,2.2,1,0,0,0,0,1,0
3100,65,40,115,92647,1,2.5,1,174,0,0,0,0,1
599,56,31,11,92374,2,0.2,3,90,0,0,0,0,0
1678,34,10,42,92173,1,1.5,2,131,0,0,0,0,0
2178,31,7,108,94507,1,4.0,1,0,0,0,0,1,0
632,45,18,40,94960,3,1.0,2,0,0,0,0,1,0
802,47,23,8,92612,4,0.2,1,0,0,0,0,1,0
2309,39,13,58,94590,2,2.4,2,0,0,0,0,1,0
1266,32,2,71,95014,2,1.75,3,108,0,0,0,0,0
1949,39,15,62,93955,4,2.4,1,86,0,0,0,0,0
4517,58,32,12,95929,4,0.7,3,0,0,0,0,1,0
2525,49,25,24,95678,3,0.4,1,0,0,0,0,1,0
3116,31,5,111,94305,2,0.2,1,0,0,0,0,0,0
901,30,4,51,94709,4,0.2,1,172,0,0,0,0,1
4909,40,16,138,92121,2,6.1,1,0,0,0,0,1,0
3025,61,35,78,90840,2,2.0,1,0,0,0,0,1,1
3979,43,18,19,92325,2,0.3,2,0,0,0,0,1,0
3256,34,7,82,95741,4,2.0,2,0,0,0,0,1,1
303,45,21,152,94550,2,7.5,1,0,0,0,0,1,0
3058,42,18,45,95616,1,0.7,1,0,0,1,0,1,0
2141,53,27,89,92130,1,0.8,3,0,0,1,0,1,0
1649,47,21,85,93106,2,1.7,2,0,0,0,0,0,1
4085,60,36,59,94124,1,0.0,2,0,0,1,0,0,0
4190,45,19,93,91116,2,1.7,2,0,0,0,0,0,0
2748,38,12,30,91765,2,1.4,3,0,0,0,0,0,1
1489,38,12,39,95825,2,0.3,1,174,0,0,0,1,0
3861,31,6,64,92121,2,0.1,1,0,0,0,0,1,1
3064,54,29,21,95841,4,0.1,3,0,0,0,0,0,0
4058,57,32,38,90740,2,2.1,3,0,0,0,0,0,0
4504,45,21,33,92374,3,0.5,1,108,0,0,0,1,0
3053,54,30,75,94720,2,3.2,3,0,0,0,0,0,1
102,61,36,30,94608,3,1.3,2,0,0,0,0,0,0
478,64,39,24,95112,4,0.4,2,78,0,0,0,1,0
2068,58,32,180,91770,1,2.9,1,0,0,0,0,0,1
4008,31,7,35,91745,2,1.0,2,0,0,0,0,0,1
1836,47,23,171,94546,2,1.4,1,284,0,0,0,1,1
4650,59,35,121,91423,1,4.3,1,0,0,0,0,1,0
3967,33,7,84,95051,1,2.9,3,0,0,0,0,1,0
502,50,26,39,90640,3,1.9,2,0,0,0,0,1,0
1997,49,24,38,94305,1,1.4,3,0,0,0,0,0,0
1805,40,16,64,92661,4,2.67,1,0,0,1,0,1,0
405,61,36,60,92866,3,0.5,2,182,0,0,0,0,0
4780,39,14,20,90747,1,0.6,3,0,0,0,0,1,0
1751,60,34,61,95521,4,1.7,2,229,0,0,0,0,0
3925,61,37,122,94609,2,6.0,1,0,0,0,0,1,0
1572,37,13,73,95758,4,2.4,1,0,0,0,0,0,0
1390,45,15,20,94107,1,0.75,3,0,0,0,0,1,0
1326,50,24,79,94304,1,0.3,1,120,0,0,0,1,0
2355,35,9,8,94043,1,0.4,2,0,0,0,0,1,0
44,39,15,45,95616,1,0.7,1,0,0,0,0,1,0
1880,56,30,78,90401,3,1.7,2,0,0,0,0,0,0
3459,48,23,191,95053,2,2.8,1,231,0,0,0,0,1
3431,64,38,32,90291,2,0.3,1,0,0,0,0,1,1
3567,57,33,80,92064,2,2.8,1,0,0,0,0,1,1
2596,35,10,105,92780,1,4.6,1,0,0,0,0,0,0
2521,56,29,45,90095,4,2.5,2,113,0,0,0,1,0
1334,62,38,99,95014,4,1.7,2,0,0,0,0,1,0
2194,45,19,25,94609,2,0.1,3,102,0,0,0,1,0
1163,38,14,112,94501,2,2.2,1,394,0,0,0,0,0
1485,55,30,40,94126,2,2.3,3,0,0,1,0,1,0
3951,38,14,62,94143,1,1.5,3,255,0,0,0,1,0
1937,50,24,82,90291,3,3.0,2,0,0,0,0,1,0
129,38,14,74,92182,2,0.0,1,0,0,1,0,1,0
1262,63,39,84,94901,1,1.8,3,0,0,0,0,0,0
3334,37,13,79,91711,4,0.1,2,280,0,0,0,1,0
4758,26,2,135,94588,1,1.5,1,0,0,0,0,0,0
3667,60,35,51,94143,2,2.8,1,0,0,0,0,1,0
2901,52,28,55,91320,2,3.2,3,151,0,0,0,0,0
33,53,28,41,94801,2,0.6,3,193,0,0,0,0,0
3886,32,2,69,93943,4,4.0,3,102,0,0,0,1,0
87,40,16,42,94501,4,2.2,2,126,0,0,0,0,0
2049,28,4,43,94803,1,1.8,2,0,0,0,0,1,1
716,47,23,32,92130,1,1.0,1,0,0,1,1,1,1
253,65,40,53,91711,3,2.2,1,0,0,0,0,0,1
429,62,38,24,94720,2,1.0,1,116,0,0,0,0,1
2771,36,6,69,90024,4,4.0,3,0,0,0,0,1,0
1575,62,37,42,92106,3,1.5,1,0,0,0,0,1,0
72,53,29,69,93907,4,1.0,2,0,0,0,0,1,0
2439,62,37,29,91030,1,0.3,3,0,0,0,0,0,1
4708,59,35,91,95008,2,1.6,1,0,0,1,0,0,1
4971,37,13,95,95821,2,1.7,2,0,0,0,0,0,1
2077,49,23,119,91030,1,7.3,1,398,0,0,0,0,0
1892,42,18,50,95126,4,2.2,2,0,0,0,0,0,0
3013,29,3,172,92373,2,4.5,1,415,0,0,0,1,0
1587,59,33,50,94122,2,2.3,3,0,0,0,0,0,1
1082,53,28,20,94080,3,0.1,2,0,0,0,0,0,0
4250,37,12,63,91942,4,2.1,3,0,0,0,0,1,0
3639,47,22,38,92866,4,1.9,3,0,0,0,0,1,0
4014,62,38,23,91304,2,0.3,3,0,0,0,0,0,0
3937,43,18,63,95616,3,0.8,3,0,0,1,0,0,0
3343,38,13,84,91330,3,1.2,3,121,0,0,0,1,1
398,26,2,48,90503,3,0.7,2,0,0,0,0,1,0
3090,31,5,23,94110,3,1.0,1,95,0,0,0,0,0
844,64,39,73,94720,3,2.4,1,0,0,0,0,1,0
3760,31,4,29,92093,4,1.5,2,121,0,0,0,1,1
3201,48,23,70,92122,1,2.8,2,0,0,0,0,0,0
