ShipDateKey,SONumber,SOLineNumber,OrderQuantity,UnitPrice,ShipDate,ProductName,ProductSubcategory
20080101,SO60749,2,1,742.35,1/1/2008,"Touring-3000 Yellow, 62",Touring Bikes
20080102,SO60818,2,1,2384.07,1/2/2008,"Touring-1000 Yellow, 46",Touring Bikes
20080102,SO60836,2,1,2384.07,1/2/2008,"Touring-1000 Yellow, 60",Touring Bikes
20080110,SO61421,2,1,2384.07,1/10/2008,"Touring-1000 Blue, 60",Touring Bikes
20080111,SO61479,2,1,1700.99,1/11/2008,"Road-350-W Yellow, 40",Road Bikes
20080114,SO61643,2,1,2384.07,1/14/2008,"Touring-1000 Yellow, 54",Touring Bikes
20080119,SO61961,2,1,2384.07,1/19/2008,"Touring-1000 Blue, 46",Touring Bikes
20080121,SO62075,2,1,1214.85,1/21/2008,"Touring-2000 Blue, 50",Touring Bikes
20080123,SO62227,2,1,1700.99,1/23/2008,"Road-350-W Yellow, 48",Road Bikes
20080123,SO62231,2,1,539.99,1/23/2008,"Road-750 Black, 48",Road Bikes
20080206,SO63058,2,1,2384.07,2/6/2008,"Touring-1000 Blue, 60",Touring Bikes
20080207,SO63115,2,1,2384.07,2/7/2008,"Touring-1000 Yellow, 60",Touring Bikes
20080210,SO63476,2,1,539.99,2/10/2008,"Road-750 Black, 52",Road Bikes
20080215,SO63795,2,1,2384.07,2/15/2008,"Touring-1000 Yellow, 54",Touring Bikes
20080215,SO63806,2,1,539.99,2/15/2008,"Road-750 Black, 58",Road Bikes
20080222,SO64232,2,1,2384.07,2/22/2008,"Touring-1000 Yellow, 54",Touring Bikes
20080223,SO64286,2,1,2384.07,2/23/2008,"Touring-1000 Yellow, 46",Touring Bikes
20080228,SO64669,2,1,539.99,2/28/2008,"Road-750 Black, 44",Road Bikes
20080305,SO65011,2,1,742.35,3/5/2008,"Touring-3000 Yellow, 44",Touring Bikes
20080307,SO65145,2,1,2384.07,3/7/2008,"Touring-1000 Yellow, 60",Touring Bikes
20080311,SO65542,2,1,742.35,3/11/2008,"Touring-3000 Yellow, 44",Touring Bikes
20080311,SO65548,2,1,539.99,3/11/2008,"Road-750 Black, 44",Road Bikes
20080315,SO65781,2,1,539.99,3/15/2008,"Road-750 Black, 52",Road Bikes
20080315,SO65798,2,1,539.99,3/15/2008,"Road-750 Black, 58",Road Bikes
20080320,SO66153,2,1,2384.07,3/20/2008,"Touring-1000 Yellow, 46",Touring Bikes
20080328,SO66634,2,1,539.99,3/28/2008,"Road-750 Black, 58",Road Bikes
20080402,SO66894,2,1,564.99,4/2/2008,"Mountain-500 Silver, 42",Mountain Bikes
20080402,SO66936,2,1,539.99,4/2/2008,"Road-750 Black, 44",Road Bikes
20080403,SO66999,2,1,742.35,4/3/2008,"Touring-3000 Blue, 54",Touring Bikes
20080404,SO67070,2,1,1214.85,4/4/2008,"Touring-2000 Blue, 60",Touring Bikes
20080413,SO67760,2,1,1700.99,4/13/2008,"Road-350-W Yellow, 44",Road Bikes
20080422,SO68330,2,1,2384.07,4/22/2008,"Touring-1000 Blue, 60",Touring Bikes
20080430,SO68872,2,1,742.35,4/30/2008,"Touring-3000 Blue, 58",Touring Bikes
