,CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchasedOnCampaign,CampaignType
0,1,56,Male,97215,69,0,Direct Mail
1,2,69,Female,99042,47,0,Direct Mail
2,3,46,Male,43284,25,0,Social Media
3,4,32,Female,91389,66,0,Social Media
4,5,60,Male,39435,10,0,In-Store
5,6,25,Male,84340,56,0,Social Media
6,7,38,Male,74078,30,0,Email
7,8,56,Male,81293,5,1,Email
8,9,36,Female,90403,33,0,Direct Mail
9,10,40,Male,59124,65,0,Email
10,11,28,Male,73919,18,1,In-Store
11,12,28,Male,65247,96,0,Email
12,13,41,Male,92752,49,0,Email
13,14,53,Female,86573,11,0,In-Store
14,15,57,Female,89101,85,0,Social Media
15,16,41,Male,56646,26,1,Social Media
16,17,20,Female,53049,63,0,In-Store
17,18,39,Male,98385,89,0,Direct Mail
18,19,19,Female,70158,86,0,Email
19,20,41,Male,95417,59,0,In-Store
20,21,61,Male,53289,27,0,Email
21,22,47,Male,39823,49,0,Direct Mail
22,23,55,Female,90160,77,0,Email
23,24,19,Female,71975,33,1,In-Store
24,25,38,Female,39540,98,0,Email
25,26,50,Male,46364,99,0,Social Media
26,27,29,Female,34611,1,0,Direct Mail
27,28,39,Female,57663,21,0,Direct Mail
28,29,61,Male,81991,55,0,Direct Mail
29,30,42,Male,87679,6,0,In-Store
30,31,66,Male,60977,92,0,Direct Mail
31,32,44,Female,79115,81,0,Social Media
32,33,59,Male,90890,69,0,In-Store
33,34,45,Female,96387,95,1,Social Media
34,35,33,Male,48071,5,0,Email
35,36,32,Female,89275,3,0,Email
36,37,64,Female,41938,53,0,Email
37,38,68,Male,65195,23,1,Email
38,39,61,Male,34000,53,0,Social Media
39,40,69,Female,68304,37,0,In-Store
40,41,20,Female,99449,74,1,In-Store
41,42,54,Male,50764,74,1,Direct Mail
42,43,68,Male,68494,83,1,Social Media
43,44,24,Female,33373,17,0,Email
44,45,38,Female,42161,85,0,Social Media
45,46,26,Male,57350,78,0,Direct Mail
46,47,56,Male,55351,73,1,Direct Mail
47,48,35,Female,45305,1,0,Social Media
48,49,21,Male,95953,51,0,Social Media
49,50,42,Female,87458,45,0,Social Media
50,51,31,Female,50358,77,1,In-Store
51,52,67,Female,33267,4,0,Email
52,53,26,Female,68513,62,0,Social Media
53,54,43,Male,56092,65,0,Social Media
54,55,19,Female,41338,32,0,Social Media
55,56,37,Female,30412,34,0,Direct Mail
56,57,45,Male,37543,92,0,Direct Mail
57,58,64,Male,63496,95,0,In-Store
58,59,24,Female,90692,72,0,Email
59,60,61,Female,74425,39,0,In-Store
60,61,25,Male,68756,26,0,Email
61,62,64,Female,48888,34,0,Direct Mail
62,63,52,Female,65735,54,0,Direct Mail
