Intl_Plan,Day_Charge,CustServ_Calls,Churn
no,41.38,0,False
no,21.95,4,True
no,31.91,0,False
no,20.52,4,False
no,56.59,4,True
no,32.42,3,False
no,10.61,5,True
no,20.28,1,False
no,14.42,2,False
no,36.04,3,False
no,42.43,1,True
no,30.06,0,False
no,22.24,1,False
yes,29.43,0,True
no,14.59,3,False
no,26.18,1,False
no,20.55,2,False
no,31.79,2,False
no,27.05,5,True
no,32.62,3,False
no,31.64,2,False
no,25.67,5,True
no,33.73,3,True
no,32.93,2,False
no,25.18,2,False
yes,21.28,0,False
no,30.41,4,True
no,42.26,3,False
no,51.05,0,True
no,10.47,4,True
no,35.8,2,True
no,26.84,4,True
no,36.43,1,False
no,26.2,2,False
no,40.44,1,True
no,34.58,0,True
no,30.45,3,False
no,36.06,1,True
no,42.81,2,True
no,47.84,2,False
yes,33.46,0,True
no,48.03,1,True
no,12.02,4,True
no,31.88,4,True
yes,28.41,2,True
yes,46.16,1,False
no,57.36,0,True
no,24.16,1,False
no,32.27,1,False
no,19.86,1,False
no,9.89,5,True
no,25.45,0,False
no,55.51,2,True
yes,49.79,4,True
no,37.06,3,False
no,40.99,1,False
no,28.49,1,False
yes,38.54,2,True
no,25.74,0,False
no,30.6,3,False
no,42.53,1,True
no,31.65,2,False
no,33.42,0,False
yes,53.04,0,True
no,34.53,3,False
no,28.7,0,False
yes,29.43,1,False
no,22.85,5,True
yes,22.97,2,True
no,43.08,1,False
no,33.75,0,True
no,26.76,4,True
no,35.34,4,False
yes,10.64,1,True
no,22.87,1,False
no,28.61,1,False
no,44.61,2,False
no,38.39,4,False
no,23.51,3,False
no,35.12,0,False
no,32.27,2,True
no,37.67,1,False
no,33.64,3,False
no,35.09,2,False
no,51.66,1,True
no,39.2,0,False
no,29.36,5,True
no,45.32,1,True
no,28.97,0,True
no,46.26,1,True
no,50.39,4,True
no,42.28,1,True
no,16.0,0,False
no,10.27,1,False
yes,38.0,2,True
no,23.58,0,False
no,34.88,0,False
no,46.34,1,True
no,21.81,7,True
no,36.5,1,False
no,28.76,0,False
no,36.21,1,True
no,37.71,0,False
no,10.98,2,False
no,26.28,1,False
no,18.19,4,True
no,25.87,1,False
yes,40.15,2,True
no,28.24,1,False
yes,43.71,1,True
no,27.59,0,False
no,59.64,1,True
no,32.86,4,False
yes,37.06,0,True
no,36.38,0,False
yes,28.14,1,True
no,37.57,2,False
no,25.77,1,False
no,39.03,0,True
no,47.31,0,False
no,23.56,0,False
no,39.85,1,True
no,30.86,1,False
no,28.44,1,True
no,20.57,1,False
no,26.71,4,True
no,44.17,0,False
no,43.61,3,False
no,40.75,2,True
yes,29.16,1,True
no,29.44,3,False
no,42.55,2,True
no,41.38,1,False
no,49.08,0,False
no,32.35,1,False
no,47.26,0,True
no,26.35,1,False
no,23.51,3,False
no,25.33,0,False
