ShipDateKey,SONumber,SOLineNumber,OrderQuantity,UnitPrice,ShipDate,ProductName,ProductSubcategory
20080101,SO60701,3,1,63.5,1/1/2008,"Classic Vest, L",Vests
20080101,SO60757,2,1,63.5,1/1/2008,"Classic Vest, L",Vests
20080105,SO60980,3,1,63.5,1/5/2008,"Classic Vest, L",Vests
20080105,SO61020,2,1,63.5,1/5/2008,"Classic Vest, L",Vests
20080111,SO61460,3,1,63.5,1/11/2008,"Classic Vest, L",Vests
20080114,SO61616,2,1,63.5,1/14/2008,"Classic Vest, L",Vests
20080114,SO61642,3,1,63.5,1/14/2008,"Classic Vest, L",Vests
20080118,SO61885,2,1,63.5,1/18/2008,"Classic Vest, L",Vests
20080119,SO61923,2,1,63.5,1/19/2008,"Classic Vest, L",Vests
20080119,SO61956,4,1,63.5,1/19/2008,"Classic Vest, L",Vests
20080120,SO61977,4,1,63.5,1/20/2008,"Classic Vest, L",Vests
20080122,SO62153,2,1,63.5,1/22/2008,"Classic Vest, L",Vests
20080127,SO62398,3,1,63.5,1/27/2008,"Classic Vest, L",Vests
20080128,SO62472,3,1,63.5,1/28/2008,"Classic Vest, L",Vests
20080129,SO62537,3,1,63.5,1/29/2008,"Classic Vest, L",Vests
20080131,SO62645,4,1,63.5,1/31/2008,"Classic Vest, L",Vests
20080201,SO62736,3,1,63.5,2/1/2008,"Classic Vest, L",Vests
20080202,SO62808,2,1,63.5,2/2/2008,"Classic Vest, L",Vests
20080203,SO62828,2,1,63.5,2/3/2008,"Classic Vest, L",Vests
20080206,SO63038,4,1,63.5,2/6/2008,"Classic Vest, L",Vests
20080206,SO63045,5,1,63.5,2/6/2008,"Classic Vest, L",Vests
20080208,SO63339,3,1,63.5,2/8/2008,"Classic Vest, L",Vests
20080211,SO63515,3,1,63.5,2/11/2008,"Classic Vest, L",Vests
20080212,SO63572,2,1,63.5,2/12/2008,"Classic Vest, L",Vests
20080217,SO63916,3,1,63.5,2/17/2008,"Classic Vest, L",Vests
20080219,SO64041,4,1,63.5,2/19/2008,"Classic Vest, L",Vests
20080220,SO64078,2,1,63.5,2/20/2008,"Classic Vest, L",Vests
20080221,SO64151,2,1,63.5,2/21/2008,"Classic Vest, L",Vests
20080223,SO64253,2,1,63.5,2/23/2008,"Classic Vest, L",Vests
20080224,SO64375,4,1,63.5,2/24/2008,"Classic Vest, L",Vests
20080226,SO64464,3,1,63.5,2/26/2008,"Classic Vest, L",Vests
20080227,SO64562,3,1,63.5,2/27/2008,"Classic Vest, L",Vests
20080227,SO64587,4,1,63.5,2/27/2008,"Classic Vest, L",Vests
20080228,SO64649,3,1,63.5,2/28/2008,"Classic Vest, L",Vests
20080303,SO64868,3,1,63.5,3/3/2008,"Classic Vest, L",Vests
20080303,SO64892,4,1,63.5,3/3/2008,"Classic Vest, L",Vests
20080306,SO65053,2,1,63.5,3/6/2008,"Classic Vest, L",Vests
20080306,SO65061,3,1,63.5,3/6/2008,"Classic Vest, L",Vests
20080310,SO65457,2,1,63.5,3/10/2008,"Classic Vest, L",Vests
20080312,SO65582,2,1,63.5,3/12/2008,"Classic Vest, L",Vests
20080312,SO65596,3,1,63.5,3/12/2008,"Classic Vest, L",Vests
20080313,SO65652,4,1,63.5,3/13/2008,"Classic Vest, L",Vests
20080316,SO65841,2,1,63.5,3/16/2008,"Classic Vest, L",Vests
20080318,SO65970,3,1,63.5,3/18/2008,"Classic Vest, L",Vests
20080324,SO66364,4,1,63.5,3/24/2008,"Classic Vest, L",Vests
20080325,SO66394,2,1,63.5,3/25/2008,"Classic Vest, L",Vests
20080325,SO66429,3,1,63.5,3/25/2008,"Classic Vest, L",Vests
20080326,SO66458,3,1,63.5,3/26/2008,"Classic Vest, L",Vests
20080326,SO66494,4,1,63.5,3/26/2008,"Classic Vest, L",Vests
20080327,SO66512,3,1,63.5,3/27/2008,"Classic Vest, L",Vests
20080327,SO66532,3,1,63.5,3/27/2008,"Classic Vest, L",Vests
20080327,SO66535,2,1,63.5,3/27/2008,"Classic Vest, L",Vests
20080327,SO66546,2,1,63.5,3/27/2008,"Classic Vest, L",Vests
20080327,SO66550,3,1,63.5,3/27/2008,"Classic Vest, L",Vests
20080328,SO66597,2,1,63.5,3/28/2008,"Classic Vest, L",Vests
20080330,SO66756,2,1,63.5,3/30/2008,"Classic Vest, L",Vests
20080401,SO66830,3,1,63.5,4/1/2008,"Classic Vest, L",Vests
20080402,SO66914,2,1,63.5,4/2/2008,"Classic Vest, L",Vests
20080409,SO67479,4,1,63.5,4/9/2008,"Classic Vest, L",Vests
20080410,SO67533,2,1,63.5,4/10/2008,"Classic Vest, L",Vests
20080411,SO67620,2,1,63.5,4/11/2008,"Classic Vest, L",Vests
20080413,SO67703,3,1,63.5,4/13/2008,"Classic Vest, L",Vests
20080415,SO67842,4,1,63.5,4/15/2008,"Classic Vest, L",Vests
20080415,SO67881,2,1,63.5,4/15/2008,"Classic Vest, L",Vests
20080417,SO67975,3,1,63.5,4/17/2008,"Classic Vest, L",Vests
20080422,SO68300,2,1,63.5,4/22/2008,"Classic Vest, L",Vests
20080422,SO68305,3,1,63.5,4/22/2008,"Classic Vest, L",Vests
20080423,SO68366,3,1,63.5,4/23/2008,"Classic Vest, L",Vests
20080423,SO68376,4,1,63.5,4/23/2008,"Classic Vest, L",Vests
20080424,SO68441,3,1,63.5,4/24/2008,"Classic Vest, L",Vests
20080425,SO68523,3,1,63.5,4/25/2008,"Classic Vest, L",Vests
20080426,SO68589,4,1,63.5,4/26/2008,"Classic Vest, L",Vests
20080427,SO68652,2,1,63.5,4/27/2008,"Classic Vest, L",Vests
20080429,SO68748,4,1,63.5,4/29/2008,"Classic Vest, L",Vests
20080429,SO68791,4,1,63.5,4/29/2008,"Classic Vest, L",Vests
20080430,SO68823,2,1,63.5,4/30/2008,"Classic Vest, L",Vests
20080501,SO68941,3,1,63.5,5/1/2008,"Classic Vest, L",Vests
20080503,SO69047,2,1,63.5,5/3/2008,"Classic Vest, L",Vests
20080504,SO69135,3,1,63.5,5/4/2008,"Classic Vest, L",Vests
20080504,SO69146,4,1,63.5,5/4/2008,"Classic Vest, L",Vests
20080507,SO69334,4,1,63.5,5/7/2008,"Classic Vest, L",Vests
20080510,SO69789,4,1,63.5,5/10/2008,"Classic Vest, L",Vests
20080511,SO69857,2,1,63.5,5/11/2008,"Classic Vest, L",Vests
20080512,SO69924,2,1,63.5,5/12/2008,"Classic Vest, L",Vests
20080514,SO70024,3,1,63.5,5/14/2008,"Classic Vest, L",Vests
20080519,SO70433,3,1,63.5,5/19/2008,"Classic Vest, L",Vests
20080521,SO70562,3,1,63.5,5/21/2008,"Classic Vest, L",Vests
20080522,SO70669,2,1,63.5,5/22/2008,"Classic Vest, L",Vests
20080526,SO70878,4,1,63.5,5/26/2008,"Classic Vest, L",Vests
20080530,SO71193,4,1,63.5,5/30/2008,"Classic Vest, L",Vests
20080602,SO71400,6,1,63.5,6/2/2008,"Classic Vest, L",Vests
20080602,SO71401,2,1,63.5,6/2/2008,"Classic Vest, L",Vests
20080606,SO71642,3,1,63.5,6/6/2008,"Classic Vest, L",Vests
20080610,SO72124,4,1,63.5,6/10/2008,"Classic Vest, L",Vests
20080611,SO72160,6,1,63.5,6/11/2008,"Classic Vest, L",Vests
20080613,SO72315,2,1,63.5,6/13/2008,"Classic Vest, L",Vests
20080615,SO72493,4,1,63.5,6/15/2008,"Classic Vest, L",Vests
20080616,SO72544,4,1,63.5,6/16/2008,"Classic Vest, L",Vests
20080616,SO72569,4,1,63.5,6/16/2008,"Classic Vest, L",Vests
20080617,SO72583,2,1,63.5,6/17/2008,"Classic Vest, L",Vests
20080620,SO72809,2,1,63.5,6/20/2008,"Classic Vest, L",Vests
20080620,SO72813,2,1,63.5,6/20/2008,"Classic Vest, L",Vests
20080620,SO72823,4,1,63.5,6/20/2008,"Classic Vest, L",Vests
20080620,SO72834,2,1,63.5,6/20/2008,"Classic Vest, L",Vests
20080621,SO72909,2,1,63.5,6/21/2008,"Classic Vest, L",Vests
20080622,SO72994,3,1,63.5,6/22/2008,"Classic Vest, L",Vests
20080624,SO73126,3,1,63.5,6/24/2008,"Classic Vest, L",Vests
20080624,SO73129,2,1,63.5,6/24/2008,"Classic Vest, L",Vests
20080630,SO73641,4,1,63.5,6/30/2008,"Classic Vest, L",Vests
20080701,SO73667,2,1,63.5,7/1/2008,"Classic Vest, L",Vests
20080703,SO73811,3,1,63.5,7/3/2008,"Classic Vest, L",Vests
20080704,SO73881,3,1,63.5,7/4/2008,"Classic Vest, L",Vests
20080705,SO74028,2,1,63.5,7/5/2008,"Classic Vest, L",Vests
20080708,SO74163,3,1,63.5,7/8/2008,"Classic Vest, L",Vests
20080708,SO74176,4,1,63.5,7/8/2008,"Classic Vest, L",Vests
20080708,SO74181,3,1,63.5,7/8/2008,"Classic Vest, L",Vests
20080712,SO74279,3,1,63.5,7/12/2008,"Classic Vest, L",Vests
20080712,SO74291,2,1,63.5,7/12/2008,"Classic Vest, L",Vests
20080714,SO74359,2,1,63.5,7/14/2008,"Classic Vest, L",Vests
20080717,SO74443,4,1,63.5,7/17/2008,"Classic Vest, L",Vests
20080731,SO74909,4,1,63.5,7/31/2008,"Classic Vest, L",Vests
20080807,SO75100,3,1,63.5,8/7/2008,"Classic Vest, L",Vests
20080807,SO75101,2,1,63.5,8/7/2008,"Classic Vest, L",Vests
20080104,SO60919,3,1,63.5,1/4/2008,"Classic Vest, M",Vests
20080104,SO60936,4,1,63.5,1/4/2008,"Classic Vest, M",Vests
20080105,SO60970,2,1,63.5,1/5/2008,"Classic Vest, M",Vests
20080105,SO61012,3,1,63.5,1/5/2008,"Classic Vest, M",Vests
20080107,SO61104,4,1,63.5,1/7/2008,"Classic Vest, M",Vests
20080109,SO61339,2,1,63.5,1/9/2008,"Classic Vest, M",Vests
20080109,SO61358,3,1,63.5,1/9/2008,"Classic Vest, M",Vests
20080111,SO61459,2,1,63.5,1/11/2008,"Classic Vest, M",Vests
20080112,SO61506,2,1,63.5,1/12/2008,"Classic Vest, M",Vests
20080112,SO61512,2,1,63.5,1/12/2008,"Classic Vest, M",Vests
20080113,SO61540,4,1,63.5,1/13/2008,"Classic Vest, M",Vests
20080116,SO61752,2,1,63.5,1/16/2008,"Classic Vest, M",Vests
20080117,SO61831,3,1,63.5,1/17/2008,"Classic Vest, M",Vests
20080119,SO61942,2,1,63.5,1/19/2008,"Classic Vest, M",Vests
20080122,SO62112,2,1,63.5,1/22/2008,"Classic Vest, M",Vests
20080125,SO62303,2,1,63.5,1/25/2008,"Classic Vest, M",Vests
20080127,SO62402,3,1,63.5,1/27/2008,"Classic Vest, M",Vests
20080128,SO62507,3,1,63.5,1/28/2008,"Classic Vest, M",Vests
20080131,SO62631,3,1,63.5,1/31/2008,"Classic Vest, M",Vests
20080203,SO62854,3,1,63.5,2/3/2008,"Classic Vest, M",Vests
20080204,SO62887,4,1,63.5,2/4/2008,"Classic Vest, M",Vests
20080204,SO62915,4,1,63.5,2/4/2008,"Classic Vest, M",Vests
20080204,SO62935,3,1,63.5,2/4/2008,"Classic Vest, M",Vests
20080208,SO63298,4,1,63.5,2/8/2008,"Classic Vest, M",Vests
20080211,SO63533,4,1,63.5,2/11/2008,"Classic Vest, M",Vests
20080211,SO63534,3,1,63.5,2/11/2008,"Classic Vest, M",Vests
20080213,SO63662,3,1,63.5,2/13/2008,"Classic Vest, M",Vests
20080214,SO63736,3,1,63.5,2/14/2008,"Classic Vest, M",Vests
20080215,SO63782,2,1,63.5,2/15/2008,"Classic Vest, M",Vests
20080215,SO63808,2,1,63.5,2/15/2008,"Classic Vest, M",Vests
20080217,SO63905,3,1,63.5,2/17/2008,"Classic Vest, M",Vests
20080219,SO64035,3,1,63.5,2/19/2008,"Classic Vest, M",Vests
20080219,SO64052,3,1,63.5,2/19/2008,"Classic Vest, M",Vests
20080220,SO64102,4,1,63.5,2/20/2008,"Classic Vest, M",Vests
20080221,SO64163,2,1,63.5,2/21/2008,"Classic Vest, M",Vests
20080222,SO64223,2,1,63.5,2/22/2008,"Classic Vest, M",Vests
20080223,SO64256,2,1,63.5,2/23/2008,"Classic Vest, M",Vests
20080223,SO64287,3,1,63.5,2/23/2008,"Classic Vest, M",Vests
20080224,SO64307,4,1,63.5,2/24/2008,"Classic Vest, M",Vests
20080224,SO64347,3,1,63.5,2/24/2008,"Classic Vest, M",Vests
20080227,SO64605,2,1,63.5,2/27/2008,"Classic Vest, M",Vests
20080307,SO65097,4,1,63.5,3/7/2008,"Classic Vest, M",Vests
20080312,SO65580,2,1,63.5,3/12/2008,"Classic Vest, M",Vests
20080312,SO65587,2,1,63.5,3/12/2008,"Classic Vest, M",Vests
20080314,SO65720,2,1,63.5,3/14/2008,"Classic Vest, M",Vests
20080315,SO65773,4,1,63.5,3/15/2008,"Classic Vest, M",Vests
20080318,SO65969,2,1,63.5,3/18/2008,"Classic Vest, M",Vests
20080320,SO66130,3,1,63.5,3/20/2008,"Classic Vest, M",Vests
20080326,SO66464,2,1,63.5,3/26/2008,"Classic Vest, M",Vests
20080328,SO66586,3,1,63.5,3/28/2008,"Classic Vest, M",Vests
20080331,SO66792,2,1,63.5,3/31/2008,"Classic Vest, M",Vests
20080331,SO66802,2,1,63.5,3/31/2008,"Classic Vest, M",Vests
20080401,SO66833,2,1,63.5,4/1/2008,"Classic Vest, M",Vests
20080403,SO66953,4,1,63.5,4/3/2008,"Classic Vest, M",Vests
20080404,SO67079,4,1,63.5,4/4/2008,"Classic Vest, M",Vests
20080406,SO67199,2,1,63.5,4/6/2008,"Classic Vest, M",Vests
20080407,SO67258,2,1,63.5,4/7/2008,"Classic Vest, M",Vests
20080409,SO67464,3,1,63.5,4/9/2008,"Classic Vest, M",Vests
20080409,SO67469,4,1,63.5,4/9/2008,"Classic Vest, M",Vests
20080410,SO67487,2,1,63.5,4/10/2008,"Classic Vest, M",Vests
20080411,SO67577,3,1,63.5,4/11/2008,"Classic Vest, M",Vests
20080413,SO67698,3,1,63.5,4/13/2008,"Classic Vest, M",Vests
20080414,SO67818,3,1,63.5,4/14/2008,"Classic Vest, M",Vests
20080416,SO67910,3,1,63.5,4/16/2008,"Classic Vest, M",Vests
20080420,SO68177,2,1,63.5,4/20/2008,"Classic Vest, M",Vests
20080424,SO68428,2,1,63.5,4/24/2008,"Classic Vest, M",Vests
20080426,SO68591,4,1,63.5,4/26/2008,"Classic Vest, M",Vests
20080428,SO68717,4,1,63.5,4/28/2008,"Classic Vest, M",Vests
20080430,SO68843,2,1,63.5,4/30/2008,"Classic Vest, M",Vests
20080501,SO68907,3,1,63.5,5/1/2008,"Classic Vest, M",Vests
