CustomerID,Age,Gender,Location,Average_Spending ($),Visit_Frequency (per month)
1,56,Male,New York,8.72,0
2,69,Male,San Francisco,11.05,5
3,46,Male,Denver,15.64,2
4,32,Female,Los Angeles,12.43,9
5,60,Male,Denver,18.96,10
6,25,Male,Austin,13.18,6
7,38,Male,Los Angeles,12.58,6
8,56,Female,Chicago,11.07,13
9,36,Female,San Francisco,12.4,10
10,40,Male,Chicago,11.54,5
11,28,Male,Denver,14.12,8
12,28,Male,Denver,14.87,7
13,41,Male,San Francisco,9.64,7
14,53,Female,Denver,8.01,5
15,57,Female,Chicago,6.49,4
16,41,Female,Los Angeles,13.52,6
17,20,Female,Los Angeles,8.69,4
18,39,Male,New York,5.54,7
19,19,Male,Austin,13.17,4
20,41,Male,Denver,19.48,6
21,61,Female,Chicago,11.98,5
22,47,Male,Denver,14.52,5
23,55,Female,Denver,12.25,3
24,19,Female,Seattle,11.7,4
25,38,Male,New York,14.76,10
26,50,Male,Chicago,11.13,8
27,29,Male,Chicago,12.8,2
28,39,Female,Denver,12.97,7
29,61,Male,New York,10.0,2
30,42,Female,Los Angeles,14.98,6
31,66,Male,Chicago,11.48,6
32,44,Female,Los Angeles,9.73,3
33,59,Female,New York,13.61,3
34,45,Male,Los Angeles,9.3,11
35,33,Female,San Francisco,12.08,7
36,32,Female,Seattle,11.97,8
37,64,Male,Boston,15.26,7
38,68,Female,Chicago,13.42,3
39,61,Male,Austin,11.92,4
40,69,Female,Seattle,14.45,4
41,20,Male,Boston,16.17,6
42,54,Male,Los Angeles,13.67,5
43,68,Female,Chicago,12.03,11
44,24,Female,Los Angeles,8.06,10
45,38,Female,San Francisco,8.8,5
46,26,Female,New York,11.08,1
47,56,Female,Chicago,10.17,5
48,35,Male,Boston,11.44,4
49,21,Female,Boston,12.17,4
50,42,Male,San Francisco,13.59,7
51,31,Male,San Francisco,11.79,9
52,67,Female,Denver,13.46,4
53,26,Male,Chicago,12.19,6
54,43,Male,Los Angeles,6.07,6
55,19,Male,Austin,9.18,5
56,37,Male,Boston,11.57,8
57,45,Female,Boston,8.37,6
58,64,Male,San Francisco,13.8,4
59,24,Female,Seattle,16.59,7
60,61,Female,San Francisco,15.66,5
61,25,Male,Austin,11.36,2
62,64,Female,Los Angeles,16.47,2
63,52,Female,Los Angeles,12.45,10
64,31,Female,Seattle,10.99,10
65,34,Male,Boston,10.16,7
66,53,Female,San Francisco,11.09,6
67,67,Female,Denver,10.84,6
68,57,Female,Los Angeles,12.51,6
69,21,Male,Austin,12.48,8
70,19,Female,Chicago,12.01,4
71,23,Male,New York,13.31,3
72,59,Male,New York,15.57,6
73,21,Male,New York,14.85,7
74,46,Male,Denver,7.55,7
75,35,Male,Boston,5.0,2
76,43,Male,San Francisco,14.8,6
77,61,Female,Seattle,7.9,8
78,51,Male,Denver,11.33,11
79,27,Female,Denver,8.49,8
80,53,Female,Los Angeles,6.59,9
81,31,Male,Chicago,13.62,5
82,48,Female,Denver,14.28,4
83,65,Female,Austin,10.27,10
84,32,Female,Chicago,5.0,5
85,25,Female,Austin,10.36,2
86,31,Male,Boston,13.18,9
87,40,Female,San Francisco,7.56,8
88,57,Male,New York,12.55,6
89,38,Female,Denver,11.95,3
90,33,Female,San Francisco,13.74,3
91,62,Male,Boston,12.36,8
92,35,Female,Seattle,9.08,4
93,64,Female,Seattle,15.59,3
94,41,Female,Boston,11.52,4
95,43,Male,Austin,11.92,6
96,42,Female,Los Angeles,9.2,5
97,62,Male,Los Angeles,10.67,7
98,58,Female,Austin,9.35,10
99,46,Male,Seattle,11.48,8
100,32,Male,Seattle,17.14,7
101,62,Female,Denver,7.88,5
102,18,Female,Seattle,7.16,5
103,42,Male,San Francisco,16.41,6
104,24,Male,Seattle,11.37,6
105,26,Female,Chicago,9.99,3
106,41,Male,Denver,15.12,7
107,18,Female,New York,10.18,4
108,61,Female,Seattle,17.48,7
109,25,Female,Austin,14.03,6
110,41,Female,New York,10.54,7
111,28,Male,San Francisco,18.47,4
112,68,Female,Austin,10.18,3
113,34,Male,New York,14.23,4
114,25,Female,Austin,12.9,6
115,52,Male,San Francisco,15.91,5
116,52,Female,Denver,16.68,5
117,50,Male,Chicago,12.1,12
118,22,Male,San Francisco,9.74,6
119,59,Female,San Francisco,13.38,4
120,56,Female,Austin,9.97,6
121,58,Female,Denver,18.04,6
122,45,Female,Boston,12.41,9
123,24,Male,Los Angeles,10.9,9
124,26,Female,Seattle,12.55,5
125,25,Male,Seattle,7.96,7
126,29,Male,Chicago,9.09,10
127,51,Female,Chicago,15.6,2
128,50,Male,Seattle,10.03,5
129,65,Male,Los Angeles,8.86,5
130,40,Male,Seattle,13.61,5
131,41,Male,Boston,15.56,7
132,54,Female,Los Angeles,14.16,4
133,52,Female,Chicago,14.99,7
134,61,Female,New York,9.73,4
135,57,Female,Austin,7.73,8
136,39,Male,Boston,16.5,5
137,44,Male,Boston,11.03,7
138,52,Female,Denver,11.25,5
139,18,Female,Chicago,15.98,8
140,52,Female,Chicago,13.67,5
141,54,Male,San Francisco,13.37,3
142,64,Female,Boston,18.5,8
143,31,Female,San Francisco,10.07,12
144,20,Female,San Francisco,14.78,10
145,18,Male,Austin,12.17,3
146,22,Male,San Francisco,12.81,3
147,43,Male,Los Angeles,16.59,9
148,31,Male,Seattle,13.52,7
149,56,Male,New York,13.61,4
150,44,Male,Chicago,15.22,5
151,26,Male,Los Angeles,10.91,3
152,32,Male,New York,9.48,4
153,32,Female,Boston,8.87,5
154,43,Female,Boston,6.1,4
155,59,Male,Boston,18.17,4
156,30,Male,Los Angeles,8.69,8
157,68,Female,Los Angeles,11.34,7
158,49,Male,Chicago,11.17,4
159,56,Male,Seattle,12.92,5
160,66,Male,Denver,14.45,6
161,69,Female,San Francisco,14.58,4
162,49,Female,Boston,10.25,3
163,21,Female,Austin,11.5,7
164,47,Female,Seattle,12.85,9
165,54,Female,Austin,11.25,9
166,40,Male,Chicago,16.82,7
167,56,Female,Chicago,13.47,7
168,62,Male,Chicago,14.2,7
169,32,Male,New York,13.99,9
170,60,Female,Austin,15.52,6
171,46,Female,Seattle,12.54,3
172,53,Male,Denver,8.11,7
173,30,Male,Seattle,13.2,2
174,49,Male,Los Angeles,10.05,3
175,24,Female,Los Angeles,10.41,5
176,68,Female,Boston,13.76,5
177,39,Female,Denver,15.71,6
