,Stock Symbol,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry
0,ACU,Acme United Corporation.,27.39,91138992.45,1988.0,Capital Goods,Industrial Machinery/Components
1,AAU,"Almaden Minerals, Ltd.",1.72,154891744.80,2015.0,Basic Industries,Precious Metals
2,USAS,Americas Silver Corporation,3.05,120694837.90,2017.0,Basic Industries,Precious Metals
3,AINC,Ashford Inc.,57.3373,115550771.28,2014.0,Consumer Services,Professional Services
4,AUXO,"Auxilio, Inc.",6.3043,59131036.85,2017.0,Miscellaneous,Business Services
5,BPMX,BioPharmX Corporation,0.6999,47396931.94,2015.0,Health Care,Major Pharmaceuticals
6,BRG,"Bluerock Residential Growth REIT, Inc.",12.57,303793884.33,2014.0,Consumer Services,Real Estate Investment Trusts
7,ROX,"Castle Brands, Inc.",1.46,237644443.82,2006.0,Consumer Non-Durables,Beverages (Production/Distribution)
8,LEU,Centrus Energy Corp.,5.84,52560000.00,2014.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
9,CQH,"Cheniere Energy Partners LP Holdings, LLC",24.77,5739209000.00,2013.0,Public Utilities,Oil/Gas Transmission
10,CQP,"Cheniere Energy Partners, LP",32.7,11046922887.60,2007.0,Public Utilities,Oil/Gas Transmission
11,CIX,CompX International Inc.,14.35,178214185.45,1998.0,Capital Goods,Industrial Machinery/Components
12,CVRS,"Corindus Vascular Robotics, Inc.",1.19,222626295.99,2015.0,Health Care,Medical/Dental Instruments
13,CRHM,CRH Medical Corporation,8.9,647438857.10,2015.0,Health Care,Medical/Dental Instruments
14,ELMD,"Electromed, Inc.",4.52,37200354.84,2011.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
15,GSAT,"Globalstar, Inc.",1.73,1931550660.56,2006.0,Consumer Services,Telecommunications Equipment
16,SIM,"Grupo Simec, S.A. de C.V.",12.8,2123559308.80,1993.0,Basic Industries,Steel/Iron Ore
17,IMH,"Impac Mortgage Holdings, Inc.",12.36,198074969.88,1997.0,Consumer Services,Real Estate Investment Trusts
18,IRT,"Independence Realty Trust, Inc.",9.27,639521096.04,2013.0,Consumer Services,Real Estate Investment Trusts
19,IDN,"Intellicheck Mobilisa, Inc.",3.19,34272077.62,1999.0,Technology,Computer Software: Prepackaged Software
20,INS,Intelligent Systems Corporation,4.69,41006072.31,1992.0,Technology,Computer Software: Prepackaged Software
21,INTT,inTest Corporation,6.275,65272913.95,1997.0,Capital Goods,Electrical Products
22,JRJR,"JRjr33, Inc.",0.4989,19646974.36,2014.0,Consumer Services,Other Consumer Services
23,LBY,"Libbey, Inc.",13.82,302698769.00,1993.0,Capital Goods,Industrial Machinery/Components
24,MJCO,Majesco,5.25,191614647.00,2015.0,Technology,Computer Software: Prepackaged Software
25,MTNB,"Matinas Biopharma Holdings, Inc.",2.95,262713214.65,2017.0,Health Care,Major Pharmaceuticals
26,MPO,"MIDSTATES PETROLEUM COMPANY, INC.",19.18,479401549.06,2016.0,Energy,Oil & Gas Production
27,MLSS,"Milestone Scientific, Inc.",1.3,39883158.90,2015.0,Health Care,Industrial Specialties
28,HLTH,Nobilis Health Corp.,1.3,101175116.90,2015.0,Health Care,Hospital/Nursing Management
29,NBY,"NovaBay Pharmaceuticals, Inc.",3.7,56566247.50,2007.0,Health Care,Major Pharmaceuticals
30,OCX,OncoCyte Corporation,5.95,174701615.20,2015.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
31,TIS,Orchids Paper Products Company,22.93,236245290.63,2005.0,Basic Industries,Paper
32,ORM,"Owens Realty Mortgage, Inc.",17.52,179527440.00,2013.0,Consumer Services,Real Estate Investment Trusts
33,PZG,Paramount Gold Nevada Corp.,1.8,32003917.20,2015.0,Basic Industries,Precious Metals
34,PFNX,Pfenex Inc.,4.48,105026216.96,2014.0,Health Care,Major Pharmaceuticals
35,SACH,Sachem Capital Corp.,5.2874,58865877.31,2017.0,Consumer Services,Real Estate Investment Trusts
36,SEB,Seaboard Corporation,3933.0,4603773150.00,1996.0,Finance,Investment Bankers/Brokers/Service
37,STRP,Straight Path Communications Inc.,91.7,1145196550.40,2013.0,Public Utilities,Telecommunications Equipment
38,SDPI,"Superior Drilling Products, Inc.",0.83,20083632.84,2014.0,Energy,Metal Fabrications
39,TGD,Timmons Gold Corp,0.43,152920298.86,2011.0,Basic Industries,Precious Metals
40,UFAB,"Unique Fabricating, Inc.",11.03,107390616.90,2015.0,Capital Goods,Auto Parts:O.E.M.
41,VSR,"Versar, Inc.",1.27,12637716.66,1986.0,Consumer Services,Military/Government/Technical
42,VNRX,VolitionRX Limited,3.97,103728354.53,2015.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
43,WRN,Western Copper and Gold Corporation,1.28,121715970.56,2011.0,Basic Industries,Precious Metals
44,ZDGE,"Zedge, Inc.",3.04,29318179.52,2016.0,Technology,Computer Software: Prepackaged Software
