ID,Age,Experience,Income,ZIP_Code,Family,CCAvg,Education,Mortgage,Personal_Loan,Securities_Account,CD_Account,Online,CreditCard
301,34,9,70,92843,4,1.3,1,0,0,1,0,0,0
205,56,31,61,96150,2,1.9,2,105,0,0,0,0,0
1542,61,35,154,92704,2,6.9,1,0,0,0,0,0,0
3922,30,6,48,95812,1,1.2,1,0,0,0,0,1,0
906,46,22,28,94720,1,1.0,1,84,0,0,0,1,1
4213,50,23,9,94109,1,0.5,2,98,0,0,0,1,0
4120,30,5,85,92624,4,1.8,3,0,0,0,0,1,0
3546,48,22,174,95827,1,2.4,1,0,0,0,0,1,0
1431,32,7,52,92660,2,0.1,1,0,0,0,0,1,0
2292,47,23,90,95449,1,2.7,1,323,0,0,0,0,0
3994,30,6,13,93555,3,0.9,3,0,0,0,0,1,0
720,61,35,110,92521,3,4.4,1,0,0,1,0,1,0
981,38,13,114,92697,1,1.0,3,0,0,0,0,1,1
4344,38,14,63,95422,1,3.6,2,0,0,1,0,1,0
153,57,32,24,93117,1,1.3,1,0,0,0,0,1,1
1243,29,4,44,91380,4,2.0,2,0,0,0,0,1,0
2732,29,5,28,96651,1,0.2,3,0,0,0,0,1,0
1124,46,20,91,92521,4,2.6,3,0,0,0,0,0,0
117,54,29,35,92831,1,1.5,2,0,0,0,0,1,0
4815,60,34,41,90064,3,2.2,3,0,0,0,0,0,1
2128,40,14,179,94720,2,0.0,1,0,0,0,0,0,0
4012,47,21,88,94304,2,1.7,2,0,0,0,0,1,0
4254,54,28,61,90601,3,3.0,2,0,0,0,0,1,1
4385,45,20,61,92717,3,2.7,2,0,0,0,0,0,1
4889,25,1,121,93106,1,5.4,1,158,0,0,0,1,0
1529,34,9,134,94550,1,4.6,1,164,0,1,0,1,0
4802,34,10,88,94404,2,0.0,1,121,0,0,0,1,0
1382,38,12,22,91380,3,0.2,2,0,0,0,0,1,0
784,44,20,160,94606,2,7.6,1,0,0,1,0,0,0
1702,29,3,108,94304,4,1.8,2,0,0,0,0,0,0
1405,58,28,75,92121,1,1.4,3,0,0,0,0,1,0
1961,44,19,30,95616,4,0.0,2,0,0,0,0,1,0
793,41,16,98,93117,1,4.0,3,0,0,0,0,0,1
1034,60,34,29,95973,2,0.3,1,0,0,0,0,1,0
2072,52,28,83,94705,1,0.0,1,0,0,0,0,1,0
4820,32,6,41,95833,3,0.9,1,179,0,0,0,0,0
2950,37,11,19,95054,3,0.2,2,0,0,0,0,1,0
2710,28,4,69,94305,3,0.7,2,170,0,0,0,0,0
4290,54,28,95,90254,1,1.9,2,0,0,0,0,1,0
673,51,27,23,96651,1,0.2,1,0,0,0,0,1,0
4496,38,14,82,95616,4,2.67,1,0,0,0,0,0,0
1006,38,12,138,95112,2,0.0,1,0,0,1,0,1,0
3768,40,16,83,95819,4,2.67,1,0,0,0,0,1,1
1789,38,13,23,91116,4,0.2,3,0,0,0,0,1,0
3118,42,16,65,92614,3,0.5,3,256,0,0,0,1,0
3391,29,3,73,94720,3,0.3,3,0,0,0,0,0,0
1332,31,7,84,92692,1,0.1,1,0,0,0,0,1,0
418,53,29,83,90073,4,1.0,2,0,0,0,0,1,0
2666,35,9,105,90064,2,4.5,3,0,0,0,0,0,0
4250,37,12,63,91942,4,2.1,3,0,0,0,0,1,0
2487,61,36,130,92717,1,1.3,1,257,0,0,0,0,0
2923,52,26,49,90011,1,1.4,3,0,0,0,0,1,0
1523,25,-1,101,94720,4,2.3,3,256,0,0,0,0,1
223,26,2,104,94306,3,2.5,1,0,0,0,0,0,0
4800,44,20,33,94306,4,0.3,1,142,0,0,0,0,1
3119,64,39,114,90095,1,0.8,3,0,0,0,0,1,0
4274,44,19,83,95812,2,3.8,3,0,0,1,0,0,1
2498,33,9,14,95133,3,0.9,3,114,0,0,0,0,0
1538,58,34,41,94608,4,1.3,1,0,0,0,0,1,0
646,35,9,84,95120,4,2.2,2,322,0,0,0,0,0
4978,40,15,54,90266,3,0.8,3,0,0,0,0,1,0
4956,63,37,39,91207,2,0.7,3,0,0,0,0,1,1
4042,45,19,40,95060,1,0.2,1,0,0,1,1,1,1
4216,64,40,21,94028,2,0.3,3,0,0,0,0,0,0
4287,53,29,20,93955,1,0.2,1,131,0,0,0,1,1
2364,39,13,61,90095,2,2.4,2,90,0,0,0,1,0
4551,65,40,18,95621,1,1.5,2,0,0,0,0,1,0
4190,45,19,93,91116,2,1.7,2,0,0,0,0,0,0
2107,62,38,132,90210,1,2.9,1,0,0,0,0,0,0
1787,35,11,34,93117,1,1.5,2,0,0,0,0,0,0
4610,54,28,80,95006,4,2.6,3,143,0,0,0,0,0
471,32,6,84,91006,4,1.8,2,0,0,0,0,0,0
55,29,5,44,95819,1,0.2,3,0,0,0,0,1,0
2566,40,15,10,94708,2,0.0,3,102,0,0,0,1,0
2331,31,5,72,95133,4,1.8,2,242,0,0,0,1,1
683,58,34,12,90504,1,0.1,2,0,0,0,0,0,1
948,55,29,60,94305,3,2.2,3,84,0,0,0,1,0
1285,65,40,128,90740,1,2.5,1,162,0,0,0,1,0
547,27,2,68,94025,3,2.6,3,203,0,1,0,0,0
1878,51,24,78,90037,1,2.67,2,0,0,0,0,1,0
1465,28,4,120,92333,2,0.6,1,0,0,0,0,1,0
4967,41,17,34,91361,1,0.7,1,143,0,0,0,0,0
3587,40,15,132,94131,2,3.9,1,0,0,0,0,1,0
1981,45,19,141,94706,1,2.4,1,0,0,0,0,1,0
3397,52,28,65,93106,1,0.0,1,0,0,0,0,1,1
861,57,31,30,95841,2,0.7,2,145,0,0,0,0,0
1222,30,5,121,94132,2,3.3,1,0,0,0,0,0,1
394,53,28,18,90095,4,0.1,3,109,0,1,1,1,1
2745,51,27,10,92121,2,0.2,1,86,0,0,0,0,0
4853,38,12,33,94708,4,1.5,3,0,0,1,0,0,1
57,55,30,29,94005,3,0.1,2,0,0,1,1,1,0
1442,58,33,43,94720,2,1.6,3,0,0,0,0,1,0
4207,48,23,29,93711,1,1.3,2,0,0,0,0,0,0
837,42,17,74,92123,3,3.0,1,0,0,0,0,0,1
3782,65,40,118,94104,1,1.3,1,333,0,0,1,1,1
3599,37,11,61,95120,3,0.9,2,0,0,0,0,0,0
1133,34,9,55,94920,3,2.3,1,0,0,1,1,1,1
3868,44,19,61,94080,3,2.7,2,0,0,0,0,0,0
4006,56,32,32,95827,2,0.8,1,79,0,1,0,1,0
4736,34,9,84,94707,4,2.2,2,323,0,0,0,1,0
