ProductKey,SalesOrderNumber,OrderQuantity,UnitPrice,ProductStandardCost,ShipDate,ProductName,Subcategory,Category
477,SO64097,1,4.99,1.8663,2/20/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
217,SO65955,1,34.99,13.0863,3/18/2008,"Sport-100 Helmet, Black",Helmets,Accessories
486,SO63694,1,159,59.466,2/14/2008,All-Purpose Bike Stand,Bike Stands,Accessories
480,SO65531,1,2.29,0.8565,3/11/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
477,SO58607,1,4.99,1.8663,12/3/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
528,SO62426,1,4.99,1.8663,1/27/2008,Mountain Tire Tube,Tires and Tubes,Accessories
529,SO53203,1,3.99,1.4923,9/3/2007,Road Tire Tube,Tires and Tubes,Accessories
214,SO73804,1,34.99,13.0863,7/3/2008,"Sport-100 Helmet, Red",Helmets,Accessories
234,SO59289,1,49.99,38.4923,12/11/2007,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing
321,SO48235,1,782.99,486.7066,12/1/2006,"Road-650 Red, 58",Road Bikes,Bikes
382,SO52152,1,1120.49,713.0798,8/13/2007,"Road-550-W Yellow, 38",Road Bikes,Bikes
480,SO51959,1,2.29,0.8565,8/9/2007,Patch Kit/8 Patches,Tires and Tubes,Accessories
482,SO71257,1,8.99,3.3623,5/31/2008,"Racing Socks, L",Socks,Clothing
606,SO60825,1,539.99,343.6496,1/2/2008,"Road-750 Black, 52",Road Bikes,Bikes
590,SO68245,1,769.49,419.7784,4/21/2008,"Mountain-400-W Silver, 46",Mountain Bikes,Bikes
485,SO69378,1,21.98,8.2205,5/7/2008,Fender Set - Mountain,Fenders,Accessories
357,SO53122,1,2319.99,1265.6195,9/1/2007,"Mountain-200 Silver, 46",Mountain Bikes,Bikes
577,SO56838,1,1214.85,755.1508,11/4/2007,"Touring-2000 Blue, 46",Touring Bikes,Bikes
225,SO62564,1,8.99,6.9223,1/29/2008,AWC Logo Cap,Caps,Clothing
375,SO49340,1,2181.5625,1320.6838,2/25/2007,"Road-250 Black, 48",Road Bikes,Bikes
530,SO67810,1,4.99,1.8663,4/14/2008,Touring Tire Tube,Tires and Tubes,Accessories
478,SO57464,1,9.99,3.7363,11/12/2007,Mountain Bottle Cage,Bottles and Cages,Accessories
214,SO55544,1,34.99,13.0863,10/11/2007,"Sport-100 Helmet, Red",Helmets,Accessories
491,SO55606,1,53.99,41.5723,10/12/2007,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing
485,SO54573,1,21.98,8.2205,9/25/2007,Fender Set - Mountain,Fenders,Accessories
491,SO71232,1,53.99,41.5723,5/31/2008,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing
528,SO57793,1,4.99,1.8663,11/19/2007,Mountain Tire Tube,Tires and Tubes,Accessories
483,SO52003,1,120,44.88,8/10/2007,Hitch Rack - 4-Bike,Bike Racks,Accessories
484,SO68874,1,7.95,2.9733,4/30/2008,Bike Wash - Dissolver,Cleaners,Accessories
225,SO68660,1,8.99,6.9223,4/27/2008,AWC Logo Cap,Caps,Clothing
536,SO67768,1,29.99,11.2163,4/14/2008,ML Mountain Tire,Tires and Tubes,Accessories
490,SO73344,1,53.99,41.5723,6/27/2008,"Short-Sleeve Classic Jersey, L",Jerseys,Clothing
484,SO71355,1,7.95,2.9733,6/2/2008,Bike Wash - Dissolver,Cleaners,Accessories
529,SO69610,1,3.99,1.4923,5/8/2008,Road Tire Tube,Tires and Tubes,Accessories
530,SO74262,1,4.99,1.8663,7/11/2008,Touring Tire Tube,Tires and Tubes,Accessories
477,SO60255,1,4.99,1.8663,12/25/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
475,SO72096,1,69.99,26.1763,6/10/2008,"Women's Mountain Shorts, M",Shorts,Clothing
528,SO67171,1,4.99,1.8663,4/6/2008,Mountain Tire Tube,Tires and Tubes,Accessories
378,SO61326,1,2443.35,1554.9479,1/9/2008,"Road-250 Black, 52",Road Bikes,Bikes
477,SO69319,1,4.99,1.8663,5/7/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
540,SO66331,1,32.6,12.1924,3/24/2008,HL Road Tire,Tires and Tubes,Accessories
582,SO66374,1,1700.99,1082.51,3/25/2008,"Road-350-W Yellow, 44",Road Bikes,Bikes
357,SO57469,1,2319.99,1265.6195,11/12/2007,"Mountain-200 Silver, 46",Mountain Bikes,Bikes
