overall,reviewText,summary
5.0,excelente,Five Stars
1.0,"The graphics are terrible and the game is slow and difficult to get around. The game in general is unique in it's own messed up way, but it could have been better. I wasn't digging the 3 dimensional thing going on and the slowness of how the characters moved.",This game sucks
5.0,great game it has a lot to offer if you're a fan of infamous ! Second Son didn't give it all it could and with First Light it helps,Another helping hand of Second Son
5.0,This is a great game lots of twists and turns and with a good storyline.,Five Stars
5.0,Great game lots of replay value. Graphics are not that great for PS4 but the game is really fun.,Five Stars
5.0,"I laughed from nostalgia when I saw they were releasing this. I remembered Digimon from when I was a kid and assumed the series had gone away. Having played this, let me tell you, I'm glad it didn't.

Pros:
- The story is surprisingly enjoyable and keeps me coming back for more.
- The gameplay is really fun. I enjoy the throwback turn-based battles and strategy.
- Graphics are top notch! Solid framerate, full HD, the game is simply beautiful
- Art direction is great. I feel like I'm playing the original cartoon in real time.

No cons at all. If you're a fan of RPG's and want a fun time, this is a must-have!",Tons of fun!
3.0,"While this game offers new objects and the ability to become a celebrity yourself I was slightly disappointed with it.
Some may recall The Sims: Urbz which used not only music from The Black Eyed Peas, but also the likenesses of the band's members; which is sort of what I was expecting here, but with different celeb likenesses.
I was also disappointed about the clubs in the game: no one is ever in them!  One of the big hints/cheats is to read the newspaper each day for celeb sightings/party info...okay, but still maybe a couple sims are actually at the location.
Mainly...if you choose to become a celeb yourself, you're going to need to make connections.  Get your charisma up, as well as a creative skill: guitar, painting, writing.  It makes it easier to have one REALLY good skill than all mediocre skills, because you can use the social option of ""brag about skill"" to a celeb and possibly become part of their social circle.
If you're not interested in getting one of the conventional jobs in the game...that's usually how you meet people and gain contacts, then be sure to get Sims Ambitions to use with Late Night.  Ambitions will give you ""professions"" and also the option of working from home; the work from home option is a good way to increase your skills, while still making some money.
Overall Late Night is a so-so expansion pack.  If you're a hardcore Sims fan it's a good deal, if you're a casual gamer, then maybe not.  I myself am not a hardcore fan, though I am a fan of the franchise and it's just fun to play God.",Slightly less than expected.
4.0,"I was looking for a replacement mouse, specifically one with adjustable DPI and a sturdy feel. I've been using a Microsoft Trackball mouse for years and although it is great I am now seeing the weakness when it comes to gaming. I also was using a Microsoft 4000 Bluetooth mouth, but the jittery response and sporadic battery life before charges left me wanting more.

I narrowed down my selection to this mouse, but admit I've never heard of Perixx. I saw that they were a German company and received decent reviews so gave them a shot.

Pros:
Nice sized mouse
DPI settings on the fly
Weights to add to the feel of the mouse comes in nice tin can
responsive and programmable extra buttons.
Scroll wheel is responsive without being overly sensitive

Cons:
Not too much to gripe about...but I thought they could've put a little more contour into the right side of the mouse where your ring and pinky finger rest.  Sometimes, even though I have big hands, I felt like it made me almost have to grip the mouse when I'm used to letting my hand lay easily over other mice. Not that big a deal though.
Cord is crimped a bit but that is all aesthetics.
Getting the weights out of their tin can and into the bottom can be a pain because of how tight the cushioning is.

After playing Far Cry 3, Battlefield 3 and Alan Wake, I found the mouse comfortable to use (minus the awkward shape of the right side) and responsive enough for FPS.  It might not cost a whole lot like Logitech or RAZR but it does what it is supposed to do. The software that comes with it is easy to use and should work on windows 7 or 8. I recommend this for anyone who is looking for a wired gaming mouse with adjustable weights and dpi but don't want to spend over $50 just for a name brand.",Large and affordable gaming mice
1.0,What are you thinking?,One Star
5.0,"Grandson loves it!  wanted it!  got it! LOVES SANTA FOR IT!  I wouldnt personally know if it was good or not....  totally out of my playing realm!  but, he loves it!",SANTA WAS A BIG HIT!
5.0,This was gotten for someone who owns a gamecube .  It was given as a Christmas gift this past Christmas and the person just loves it.  The game play is what great for those of you who are into this type of game,plays like a dream
5.0,"Really fun video with a good story. If you're a fan of the other paper Mario games, then you'll definitely love this twist of a game. And if this is your first paper Mario game, still a good one to start with","Really fun, paper Mario does it again!"
3.0,"Ok racing game, its more about the modding cause the driving programminf for the physics sucks as well as the BS mph rating you driving at like 60 mph and it says u at like 140 they need to fix the realizsm oh that sh1t",bad driving physics great mod abil
5.0,I love this game playit all the time,Five Stars
5.0,"I love these cute little guys, they are the perfect amiibo! They are about the same size as the other amiibos, but plush. They also have a little cloth hook on their heads so you could theoretically use them as a keychain if you wanted, though for the price people are paying for these I don't think that would be smart.

The price I paid was fair, even though importing takes time, it is worth it! It definitely beats the hassle of trying to find these once they hit store shelves.

All in all, really cute, and definitely one of the better amiibos on the market.",Importing beats fighting scalpers for them!
5.0,Excellent!!! Thank you!!! A++++++,Five Stars
5.0,"I get really bored with reading complaints about how short this game is or what its lacking.  Unless you're a terrific FPS player with tons of time on your hands who can zip through a game in a few hours, Homefront fits my idea of a challenging and fun-to-play FPS.  Like most people, I play for relaxation, maybe 30 - 60 minutes a day.  It might take me several sessions to figure out a problem before I can move on.  I've never been able to treat any FPS like a drive through at a fast food joint.  I like to admire the action, take in the graphics, problem solve just like real life.  Based on that, I like Homefront a lot and hope that THQ makes a sequal because the battle may be won but the war continues.  So, don't look at it for what it doesn't have but for the realistic enjoyment of the action.  After all, that's really why you buy any game, right?","Play it for the fun, not for what you think it needs!"
5.0,"My 7 year-old son got this for his birthday. He loves it. It is 5 games in one, and keeps him active. I have also enjoyed playing with him.",FUN!!
